"SC","名称","市場","業種","日時","株価","前日比","前日比（％）","前日終値","始値","高値","安値","VWAP","出来高","出来高率","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限","高値日付","年初来高値","年初来高値乖離率","安値日付","年初来安値","年初来安値乖離率"
"0001","日経225（日経平均株価）","東証","株価指数","2018/2/9 15:15","21382.62","-508.24","-2.32","21890.86","21507.74","21510.3","21119.01","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","2018/2/9 15:00","1731.97","-33.72","-1.91","1765.69","1733.02","1733.53","1708.1","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1301","極洋","東証一部","水産・農林","2018/2/9 15:00","3810","-75","-1.93","3885","3800","3865","3770","3808.21","72200","0.66","274953","41637","3185","4585","2018/1/10","4460","14.57","2017/1/18","2681","42.11"
"1332","日本水産","東証一部","水産・農林","2018/2/9 15:00","523","-16","-2.97","539","524","526","516","521.83","5155800","1.65","2690466","163401","439","639","2017/11/2","719","27.26","2017/4/19","510","2.55"
"1333","マルハニチロ","東証一部","水産・農林","2018/2/9 15:00","3275","-85","-2.53","3360","3270","3295","3210","3259.79","466500","0.89","1520693","172451","2660","4060","2017/3/21","3580","8.52","2017/7/11","2903","12.81"
"1352","ホウスイ","東証一部","卸売","2018/2/9 15:00","1150","-3","-0.26","1153","1126","1150","1126","1135","1000","0.01","1135","9636","853","1453","2017/6/20","1400","17.86","2018/2/6","1123","2.4"
"1376","カネコ種苗","東証一部","水産・農林","2018/2/9 15:00","1528","-16","-1.04","1544","1504","1548","1504","1523.94","6600","0.06","10058","17989","1144","1944","2017/12/6","1820","16.04","2017/4/7","1365","11.94"
"1377","サカタのタネ","東証一部","水産・農林","2018/2/9 15:00","3575","-50","-1.38","3625","3550","3585","3515","3564.97","109600","0.23","390721","173068","2925","4325","2018/1/18","4095","12.7","2017/2/8","3110","14.95"
"1379","ホクト","東証一部","水産・農林","2018/2/9 15:00","1973","-35","-1.74","2008","1985","1987","1944","1959.96","182400","0.55","357497","65817","1508","2508","2017/3/14","2227","11.41","2017/8/15","1896","4.06"
"1380","秋川牧園","JQS","水産・農林","2018/2/9 12:46","719","9","1.27","710","699","719","699","706.67","1500","0.04","1060","3005","560","860","2018/1/17","755","4.77","2017/1/10","560","28.39"
"1381","アクシーズ","JQS","水産・農林","2018/2/9 14:39","4270","-180","-4.04","4450","4290","4290","4125","4223.03","3300","0.06","13936","23987","3750","5150","2018/2/2","4895","12.77","2017/1/18","1900","124.74"
"1382","ホーブ","JQS","水産・農林","2018/2/9 14:48","1007","-43","-4.1","1050","976","1007","976","980.71","1400","0.18","1373","767","750","1350","2018/1/31","1740","42.13","2017/12/26","940","7.13"
"1383","ベルグアース","JQS","水産・農林","2018/2/9 15:00","2202","40","1.85","2162","2012","2220","2010","2081.33","8300","0.65","17275","2796","1662","2662","2018/1/15","3225","31.72","2017/1/4","942","133.76"
"1384","ホクリヨウ","東証一部","水産・農林","2018/2/9 15:00","1404","-6","-0.43","1410","1396","1424","1358","1396.37","50700","0.6","70796","11876","1110","1710","2018/1/26","1680","16.43","2017/1/18","720","95"
"1400","ルーデン・ホールディングス","JQG","建設","2018/2/9 15:00","454","-22","-4.62","476","436","465","434","447.17","106300","0.93","47534","5163","396","556","2018/1/19","840","45.95","2017/4/13","146","210.96"
"1401","エムビーエス","東証マザ","建設","2018/2/9 15:00","844","-7","-0.82","851","821","850","808","827.37","45300","0.62","37480","6140","701","1001","2018/1/29","980","13.88","2017/1/4","347","143.23"
"1407","ウエストホールディングス","JQS","建設","2018/2/9 15:00","695","-11","-1.56","706","701","703","685","696.26","165900","0.61","115509","18928","556","856","2017/1/5","885","21.47","2018/2/9","685","1.46"
"1408","サムシングホールディングス","JQG","建設","2018/2/9 14:58","477","-17","-3.44","494","480","482","471","477.2","5000","0.12","2386","1962","414","574","2017/12/5","672","29.02","2017/4/14","435","9.66"
"1413","桧家ホールディングス","東証二部","建設","2018/2/9 15:00","2447","11","0.45","2436","2356","2449","2340","2397.42","27900","0.21","66888","33218","1936","2936","2018/1/24","2828","13.47","2017/4/6","1951","25.42"
"1414","ショーボンドホールディングス","東証一部","建設","2018/2/9 15:00","8060","-160","-1.95","8220","7890","8110","7850","8017.24","93100","0.33","746405","228683","6720","9720","2018/1/30","8960","10.04","2017/2/1","4740","70.04"
"1417","ミライト・ホールディングス","東証一部","建設","2018/2/9 15:00","1602","-27","-1.66","1629","1555","1604","1555","1583.97","407700","0.48","645784","136782","1229","2029","2018/2/5","1760","8.98","2017/2/1","1023","56.6"
"1418","インターライフホールディングス","JQS","建設","2018/2/9 15:00","281","-1","-0.35","282","270","282","269","274.5","72700","0.36","19956","5623","202","362","2017/2/23","365","23.01","2017/4/13","234","20.09"
"1419","タマホーム","東証一部","建設","2018/2/9 15:00","1137","10","0.89","1127","1095","1137","1095","1113.37","316600","1.05","352492","34173","827","1427","2018/1/29","1267","10.26","2017/1/4","526","116.16"
"1420","サンヨーホームズ","東証一部","建設","2018/2/9 15:00","814","7","0.87","807","784","816","784","803.2","103400","0.82","83051","10273","657","957","2018/1/4","1122","27.45","2017/4/17","603","34.99"
"1429","日本アクア","東証マザ","建設","2018/2/9 15:00","493","-24","-4.64","517","507","507","488","496.92","119000","0.34","59134","17068","417","617","2017/6/28","583","15.44","2017/4/7","360","36.94"
"1430","ファーストコーポレーション","東証一部","建設","2018/2/9 15:00","1413","-67","-4.53","1480","1362","1420","1339","1390.26","194700","1.46","270684","18866","1180","1780","2018/1/24","1729","18.28","2017/1/23","884","59.84"
"1431","エスケーホーム","福証QB","建設","2018/2/9 15:08","1244","101","8.84","1143","1083","1244","1072","1146.56","6400","0.25","7338","3144","843","1443","2018/1/30","1248","0.32","2017/1/5","400","211"
"1433","ベステラ","東証一部","建設","2018/2/9 15:00","1869","-48","-2.5","1917","1880","1885","1849","1862.91","49900","0.6","92959","15612","1517","2317","2017/1/18","2800","33.25","2017/1/5","1757","6.37"
"1434","JESCOホールディングス","東証二部","建設","2018/2/9 15:00","543","-29","-5.07","572","522","549","520","534.7","182500","2.84","97583","3493","472","672","2018/1/23","788","31.09","2017/4/19","397","36.78"
"1435","インベスターズクラウド","東証一部","建設","2018/2/9 15:00","1594","-89","-5.29","1683","1572","1603","1553","1579.17","816100","1.03","1288759","126020","1283","2083","2018/1/24","1851","13.88","2017/2/8","738","115.99"
"1436","フィット","東証マザ","建設","2018/2/9 14:59","1015","-36","-3.43","1051","1010","1024","1005","1013.52","9100","0.21","9223","4346","751","1351","2017/6/5","2323","56.31","2017/1/4","951","6.73"
"1438","岐阜造園","名証二部","建設","2018/2/9 15:16","1300","20","1.56","1280","1250","1325","1240","1266","3000","0.21","3798","1887","980","1580","2017/6/27","1551","16.18","2017/1/4","1055","23.22"
"1439","安江工務店","JQS","建設","2018/2/9 15:00","1594","157","10.93","1437","1551","1700","1551","1608.81","150600","11.54","242287","2081","1137","1737","2017/2/24","2580","38.22","2017/11/15","1211","31.63"
"1443","技研ホールディングス","東証二部","建設","2018/2/9 14:56","271","-8","-2.87","279","257","276","257","266.36","57700","0.36","15369","4400","199","359","2018/1/9","368","26.36","2018/2/6","242","11.98"
"1491","中外鉱業","東証二部","非鉄金属","2018/2/9 15:00","27","1","3.85","26","26","27","25","25.86","1229700","0.42","31797","7823","1","56","2017/8/10","37","27.03","2017/4/12","25","8"
"1514","住石ホールディングス","東証一部","鉱業","2018/2/9 15:00","153","-4","-2.55","157","147","154","147","150.7","2554100","4.34","384899","9011","107","207","2018/1/22","205","25.37","2017/4/14","89","71.91"
"1515","日鉄鉱業","東証一部","鉱業","2018/2/9 15:00","7070","-250","-3.42","7320","7030","7110","6980","7042.56","32400","0.39","228179","59051","5820","8820","2017/10/31","8490","16.73","2017/1/18","5390","31.17"
"1518","三井松島産業","東証一部","鉱業","2018/2/9 15:00","1410","-14","-0.98","1424","1409","1424","1386","1400.6","186900","1.43","261773","18421","1124","1724","2018/1/11","1679","16.02","2017/5/12","1266","11.37"
"1605","国際石油開発帝石","東証一部","鉱業","2018/2/9 15:00","1288.5","-77.5","-5.67","1366","1315","1318","1273","1291.35","10840200","0.74","13998486","1884204","1066","1666","2018/1/15","1529","15.73","2017/5/31","988","30.41"
"1606","日本海洋掘削","東証一部","鉱業","2018/2/9 15:00","2260","-72","-3.09","2332","2334","2334","2184","2238.04","452500","2.51","1012713","40680","1832","2832","2018/1/15","3560","36.52","2017/8/14","2017","12.05"
"1662","石油資源開発","東証一部","鉱業","2018/2/9 15:00","2686","-113","-4.04","2799","2710","2728","2635","2672.85","577400","1.01","1543303","153518","2299","3300","2018/1/29","3340","19.58","2017/9/11","2070","29.76"
"1663","K＆Oエナジーグループ","東証一部","鉱業","2018/2/9 15:00","1686","-22","-1.29","1708","1660","1689","1646","1675.31","23900","0.08","40040","51147","1308","2108","2017/10/23","1970","14.42","2018/2/6","1613","4.53"
"1711","省電舎ホールディングス","東証二部","建設","2018/2/9 15:00","1142","-60","-4.99","1202","1052","1164","1040","1110.04","277100","10.07","307591","3143","902","1502","2017/12/26","1711","33.26","2017/9/11","657","73.82"
"1712","ダイセキ環境ソリューション","東証一部","建設","2018/2/9 15:00","1093","-35","-3.1","1128","1038","1096","1022","1066.49","51600","0.31","55031","18392","828","1428","2017/7/27","1483","26.3","2018/2/9","1022","6.95"
"1716","第一カッター興業","東証一部","建設","2018/2/9 15:00","1824","72","4.11","1752","1832","1877","1765","1829.03","77000","1.28","140835","10944","1352","2152","2018/2/2","2217","17.73","2017/4/13","929","96.34"
"1717","明豊ファシリティワークス","JQS","建設","2018/2/9 15:00","463","-3","-0.64","466","436","466","436","450.62","73700","0.58","33211","5915","386","546","2017/12/14","535","13.46","2017/4/14","315","46.98"
"1718","美樹工業","JQS","建設","2018/2/9 14:22","4970","-90","-1.78","5060","4965","5000","4965","4974.62","1300","0.11","6467","5732","4060","6060","2017/11/27","5500","9.64","2017/2/20","4230","17.49"
"1719","安藤・間","東証一部","建設","2018/2/9 15:00","784","22","2.89","762","763","784","751","767.92","3295500","1.78","2530694","145204","612","912","2017/11/7","953","17.73","2017/6/23","657","19.33"
"1720","東急建設","東証一部","建設","2018/2/9 15:00","1157","-20","-1.7","1177","1131","1172","1131","1155.34","898500","0.84","1038074","123523","877","1477","2018/1/29","1221","5.24","2017/4/17","815","41.96"
"1721","コムシスホールディングス","東証一部","建設","2018/2/9 15:00","2688","-116","-4.14","2804","2704","2721","2645","2684.17","1524800","1.08","4092821","379008","2304","3305","2017/12/19","3360","20","2017/4/19","1957","37.35"
"1722","ミサワホーム","東証一部","建設","2018/2/9 15:00","841","-15","-1.75","856","839","847","834","838.93","112700","0.26","94547","36222","706","1006","2017/1/6","1133","25.77","2018/2/9","834","0.84"
"1723","日本電技","JQS","建設","2018/2/9 15:00","2869","-81","-2.75","2950","2868","2900","2821","2860.35","8500","0.1","24313","23519","2450","3450","2017/7/25","3140","8.63","2017/1/4","2021","41.96"
"1724","シンクレイヤ","JQS","建設","2018/2/9 15:00","721","-22","-2.96","743","688","739","687","703.57","67700","1.68","47632","2908","593","893","2018/1/16","1145","37.03","2017/1/11","373","93.3"
"1726","ビーアールホールディングス","東証一部","建設","2018/2/9 15:00","458","-13","-2.76","471","447","460","444","451.92","128400","0.32","58026","18183","391","551","2018/2/2","535","14.39","2017/1/4","251","82.47"
"1728","ミサワホーム中国","JQS","建設","2018/2/9 14:06","270","1","0.37","269","269","270","269","269.33","3000","0.03","808","3116","189","349","2017/2/2","327","17.43","2017/4/14","260","3.85"
"1730","麻生フオームクリート","JQS","建設","2018/2/9 14:55","714","-21","-2.86","735","660","714","660","678.41","28300","0.83","19199","2442","585","885","2017/11/24","1441","50.45","2017/1/26","336","112.5"
"1734","北弘電社","札証","建設","-","-","0","0","4140","-","-","-","-","-","0","-","2691","3440","4840","2018/1/23","4250","100","2017/2/9","3480","-100"
"1736","オーテック","JQS","建設","2018/2/9 14:59","1757","1","0.06","1756","1731","1759","1680","1711.59","8800","0.15","15062","10015","1356","2156","2017/3/28","1840","4.51","2017/1/4","1108","58.57"
"1737","三井金属エンジニアリング","東証二部","建設","2018/2/9 15:00","1520","-8","-0.52","1528","1488","1530","1464","1495.92","17400","0.14","26029","19426","1128","1928","2018/1/29","1610","5.59","2017/4/13","1050","44.76"
"1738","NITTOH","名証二部","建設","2018/2/9 14:50","640","-40","-5.88","680","640","650","636","641.29","3100","0.08","1988","2599","580","780","2018/2/2","734","12.81","2017/3/29","403","58.81"
"1739","シード平和","JQG","建設","2018/2/9 15:00","1915","16","0.84","1899","1741","1949","1741","1873.24","14200","0.44","26600","6180","1499","2299","2017/9/22","2070","7.49","2017/4/14","1107","72.99"
"1743","コーアツ工業","東証二部","建設","2018/2/9 14:07","2672","2","0.07","2670","2673","2673","2670","2671.67","600","0.08","1603","2031","2170","3170","2017/3/10","3160","15.44","2017/1/4","2250","18.76"
"1757","クレアホールディングス","東証二部","建設","2018/2/9 15:00","23","0","0","23","23","24","23","23.29","409300","0.38","9531","2503","1","53","2017/3/31","52","55.77","2017/12/25","21","9.52"
"1758","太洋基礎工業","JQS","建設","2018/2/9 13:05","1270","-120","-8.63","1390","1270","1330","1270","1292.5","4000","0.1","5170","5204","1090","1690","2018/1/5","1449","12.35","2017/1/12","718","76.88"
"1762","高松コンストラクショングループ","東証一部","建設","2018/2/9 15:00","3005","-105","-3.38","3110","3015","3040","2990","3013.92","20900","0.05","62991","116834","2410","3810","2017/12/28","3210","6.39","2017/1/12","2456","22.35"
"1764","工藤建設","東証二部","建設","2018/2/9 14:50","2186","-30","-1.35","2216","2210","2210","2185","2200","500","0.04","1100","2910","1716","2716","2017/12/11","3090","29.26","2018/2/6","2140","2.15"
"1766","東建コーポレーション","東証一部","建設","2018/2/9 15:00","11530","-280","-2.37","11810","11370","11540","11330","11416.41","59400","0.44","678135","155332","8810","14810","2017/8/23","15760","26.84","2017/2/3","7870","46.51"
"1768","ソネック","東証一部","建設","2018/2/9 15:00","781","-13","-1.64","794","789","789","773","782.62","4200","0.06","3287","5858","644","944","2017/9/26","905","13.7","2017/2/1","616","26.79"
"1770","藤田エンジニアリング","JQS","建設","2018/2/9 14:59","825","-25","-2.94","850","790","845","789","813.24","35200","0.3","28626","9653","700","1000","2017/11/24","1128","26.86","2017/4/13","505","63.37"
"1771","日本乾溜工業","福証","建設","2018/2/9 13:42","432","-12","-2.7","444","437","437","430","432.92","2400","0.05","1039","2204","364","524","2017/9/26","533","18.95","2017/2/6","351","23.08"
"1773","ワイ・ティー・エル・コーポレーション・バーハッド","東証一部","建設","2018/2/9 14:54","41","-1","-2.38","42","40","41","40","40.73","11000","-","448","-","12","72","2017/1/19","58","29.31","2017/11/20","30","36.67"
"1775","富士古河E＆C","東証二部","建設","2018/2/9 13:40","375","-2","-0.53","377","372","375","369","372.07","15000","0.03","5581","16925","297","457","2017/6/5","410","8.54","2017/4/17","306","22.55"
"1776","三井住建道路","東証二部","建設","2018/2/9 14:40","353","-2","-0.56","355","350","353","341","346.92","12000","0.06","4163","6550","275","435","2018/1/10","399","11.53","2017/4/12","225","56.89"
"1777","川崎設備工業","名証二部","建設","2018/2/9 14:52","600","-9","-1.48","609","604","604","567","589.13","4600","0.04","2710","7200","509","709","2018/1/29","675","11.11","2017/1/25","260","130.77"
"1780","ヤマウラ","東証一部","建設","2018/2/9 15:00","898","-12","-1.32","910","890","900","888","893.39","43400","0.21","38773","18951","760","1060","2017/8/23","1068","15.92","2017/1/18","553","62.39"
"1782","常磐開発","JQS","建設","2018/2/9 13:30","8250","150","1.85","8100","7960","8250","7950","8036.84","1900","0.24","15270","6476","6600","9600","2018/1/19","9180","10.13","2017/1/4","4970","66"
"1783","アジアゲートホールディングス","JQS","建設","2018/2/9 15:00","78","-1","-1.27","79","77","79","76","77.55","242700","0.42","18821","4481","49","109","2017/7/21","113","30.97","2017/4/13","72","8.33"
"1787","ナカボーテック","JQS","建設","2018/2/9 14:01","1541","-59","-3.69","1600","1482","1541","1482","1508","3000","0.06","4524","8021","1190","1990","2018/1/22","1680","8.27","2017/4/17","1150","34"
"1788","三東工業社","JQS","建設","2018/2/9 12:30","2580","0","0","2580","2580","2580","2580","2580","400","0.06","1032","1770","2080","3080","2017/12/19","2690","4.09","2017/1/24","1670","54.49"
"1789","ETSホールディングス","JQS","建設","2018/2/9 15:00","612","-13","-2.08","625","585","612","584","601.91","13600","0.21","8186","3902","525","725","2017/7/27","854","28.34","2017/1/16","360","70"
"1793","大本組","JQS","建設","2018/2/9 14:59","5030","-40","-0.79","5070","5050","5050","4945","4999.11","4500","0.07","22496","31895","4070","6070","2018/1/9","5590","10.02","2017/2/10","3775","33.25"
"1795","マサル","JQS","建設","2018/2/9 14:22","581","-4","-0.68","585","581","581","581","581","1000","0.02","581","2618","485","685","2017/11/28","610","4.75","2017/1/4","501","15.97"
"1798","守谷商会","JQS","建設","2018/2/9 14:13","2030","-19","-0.93","2049","2024","2030","2024","2025.45","1100","0.05","2228","4588","1549","2549","2017/2/3","2470","17.81","2017/8/14","1800","12.78"
"1799","第一建設工業","JQS","建設","2018/2/9 15:00","1794","-22","-1.21","1816","1771","1798","1767","1783.77","6900","0.03","12308","37420","1416","2216","2018/2/7","1979","9.35","2017/1/18","1132","58.48"
"1801","大成建設","東証一部","建設","2018/2/9 15:00","5080","-90","-1.74","5170","5090","5140","5000","5072.79","1220700","0.54","6192352","1140669","4170","6170","2017/11/7","6620","23.26","2017/2/27","3890","30.59"
"1802","大林組","東証一部","建設","2018/2/9 15:00","1196","-24","-1.97","1220","1190","1206","1181","1192.95","3956900","0.55","4720375","862926","920","1520","2017/11/9","1609","25.67","2017/4/17","1013","18.07"
"1803","清水建設","東証一部","建設","2018/2/9 15:00","992","-23","-2.27","1015","974","994","973","984.52","4646300","0.59","4574390","782206","715","1315","2017/11/6","1396","28.94","2018/2/8","968","2.48"
"1805","飛島建設","東証一部","建設","2018/2/9 15:00","172","0","0","172","167","173","167","169.66","1587000","0.82","269255","33214","122","222","2017/12/27","199","13.57","2017/9/6","152","13.16"
"1807","佐藤渡辺","JQS","建設","2018/2/9 15:00","2650","-435","-14.1","3085","2980","2980","2632","2764.57","7000","0.22","19352","8469","2385","3785","2018/1/31","3370","21.36","2017/1/4","1355","95.57"
"1808","長谷工コーポレーション","東証一部","建設","2018/2/9 15:00","1591","-40","-2.45","1631","1574","1593","1560","1579.41","1925400","0.64","3040991","478564","1231","2031","2018/1/25","1853","14.14","2017/4/11","1139","39.68"
"1810","松井建設","東証一部","建設","2018/2/9 15:00","832","-19","-2.23","851","830","838","821","830.86","50100","0.16","41626","25443","701","1001","2017/1/27","1142","27.15","2018/2/9","821","1.34"
"1811","錢高組","東証一部","建設","2018/2/9 15:00","5400","-350","-6.09","5750","5050","5550","5050","5301.12","41800","0.57","221587","39707","4750","6750","2017/12/1","6860","21.28","2017/4/14","3630","48.76"
"1812","鹿島建設","東証一部","建設","2018/2/9 15:00","987","-10","-1","997","971","993","969","980.19","5541000","0.52","5431206","1043567","847","1147","2017/11/9","1299","24.02","2017/3/7","713","38.43"
"1813","不動テトラ","東証一部","建設","2018/2/9 15:00","175","-1","-0.57","176","171","175","171","172.93","1129700","0.62","195362","31854","126","226","2017/1/5","217","19.35","2017/4/13","168","4.17"
"1814","大末建設","東証一部","建設","2018/2/9 15:00","1020","-27","-2.58","1047","1017","1023","998","1012.63","32300","0.3","32708","10827","747","1347","2017/12/12","1199","14.93","2017/4/6","890","14.61"
"1815","鉄建建設","東証一部","建設","2018/2/9 15:00","3055","-55","-1.77","3110","3000","3055","2972","3014.66","55100","0.35","166108","47869","2410","3810","2017/11/8","3880","21.26","2018/2/9","2972","2.79"
"1820","西松建設","東証一部","建設","2018/2/9 15:00","2677","-49","-1.8","2726","2676","2686","2632","2655.62","967500","1.74","2569312","148818","2226","3230","2017/11/6","3580","25.22","2018/2/9","2632","1.71"
"1821","三井住友建設","東証一部","建設","2018/2/9 15:00","608","-1","-0.16","609","595","609","595","603.13","1362200","0.84","821582","98905","509","709","2017/11/8","732","16.94","2017/4/14","555","9.55"
"1822","大豊建設","東証一部","建設","2018/2/9 15:00","541","-4","-0.73","545","530","541","524","534.37","825000","0.95","440854","47181","445","645","2017/12/7","603","10.28","2017/9/6","486","11.32"
"1824","前田建設工業","東証一部","建設","2018/2/9 15:00","1305","-22","-1.66","1327","1271","1306","1239","1284.3","2017100","1.02","2590568","258332","1027","1627","2017/11/29","1694","22.96","2017/2/8","931","40.17"
