"SC","名称","市場","業種","日時","株価","前日比","前日比（％）","前日終値","始値","高値","安値","VWAP","出来高","出来高率","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限","高値日付","年初来高値","年初来高値乖離率","安値日付","年初来安値","年初来安値乖離率"
"0001","日経225（日経平均株価）","東証","株価指数","2018/2/21 15:15","21970.81","45.71","0.21","21925.1","21942.42","22130.58","21836.73","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","2018/2/21 15:00","1761.61","-0.84","-0.05","1762.45","1764.67","1772.31","1753.02","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1301","極洋","東証一部","水産・農林","2018/2/21 15:00","3915","20","0.51","3895","3920","3945","3875","3913.81","27000","0.25","105673","42784","3195","4595","2018/1/10","4460","12.22","2017/1/18","2681","46.03"
"1332","日本水産","東証一部","水産・農林","2018/2/21 15:00","544","6","1.12","538","538","546","536","543.1","2196300","0.7","1192814","169962","438","638","2017/11/2","719","24.34","2017/4/19","510","6.67"
"1333","マルハニチロ","東証一部","水産・農林","2018/2/21 15:00","3310","-35","-1.05","3345","3300","3330","3280","3312.35","172600","0.33","571712","174294","2645","4045","2017/3/21","3580","7.54","2017/7/11","2903","14.02"
"1352","ホウスイ","東証一部","卸売","2018/2/21 15:00","1174","11","0.95","1163","1166","1199","1166","1180.32","3100","0.04","3659","9837","863","1463","2017/6/20","1400","16.14","2018/2/15","1122","4.63"
"1376","カネコ種苗","東証一部","水産・農林","2018/2/21 15:00","1604","10","0.63","1594","1595","1615","1595","1603.41","4400","0.04","7055","18883","1194","1994","2017/12/6","1820","11.87","2017/4/7","1365","17.51"
"1377","サカタのタネ","東証一部","水産・農林","2018/2/21 15:00","3710","30","0.82","3680","3660","3750","3660","3716.24","72800","0.15","270542","179604","2980","4380","2018/1/18","4095","9.4","2017/2/8","3110","19.29"
"1379","ホクト","東証一部","水産・農林","2018/2/21 15:00","2084","19","0.92","2065","2070","2115","2061","2090.51","233300","0.7","487715","69520","1565","2565","2017/3/14","2227","6.42","2017/8/15","1896","9.92"
"1380","秋川牧園","JQS","水産・農林","2018/2/21 09:00","735","0","0","735","735","735","735","740","100","0","74","3072","585","885","2018/1/17","755","2.65","2017/1/10","560","31.25"
"1381","アクシーズ","JQS","水産・農林","2018/2/21 14:35","4715","-10","-0.21","4725","4795","4795","4655","4712.86","700","0.01","3299","26487","4025","5430","2018/2/19","5000","5.7","2017/1/18","1900","148.16"
"1382","ホーブ","JQS","水産・農林","2018/2/21 15:00","1020","19","1.9","1001","1005","1020","1004","1006.67","600","0.08","604","777","701","1301","2018/1/31","1740","41.38","2017/12/26","940","8.51"
"1383","ベルグアース","JQS","水産・農林","2018/2/21 15:00","2324","-26","-1.11","2350","2321","2378","2301","2333.04","4600","0.36","10732","2951","1850","2850","2018/1/15","3225","27.94","2017/1/4","942","146.71"
"1384","ホクリヨウ","東証一部","水産・農林","2018/2/21 15:00","1470","-13","-0.88","1483","1484","1489","1447","1466.95","27200","0.32","39901","12435","1183","1783","2018/1/26","1680","12.5","2017/1/18","720","104.17"
"1400","ルーデン・ホールディングス","JQG","建設","2018/2/21 15:00","476","-38","-7.39","514","504","508","473","489.76","377000","3.32","184639","5413","414","614","2018/1/19","840","43.33","2017/4/13","146","226.03"
"1401","エムビーエス","東証マザ","建設","2018/2/21 15:00","865","-5","-0.57","870","870","875","863","869.12","11400","0.16","9908","6293","720","1020","2018/1/29","980","11.73","2017/1/4","347","149.28"
"1407","ウエストホールディングス","JQS","建設","2018/2/21 15:00","716","1","0.14","715","713","717","709","713.52","40100","0.15","28612","19500","565","865","2017/1/5","885","19.1","2018/2/14","674","6.23"
"1408","サムシングホールディングス","JQG","建設","2018/2/21 15:00","483","1","0.21","482","484","486","483","484.12","3400","0.08","1646","1987","402","562","2017/12/5","672","28.13","2017/4/14","435","11.03"
"1413","桧家ホールディングス","東証二部","建設","2018/2/21 15:00","2808","42","1.52","2766","2752","2814","2739","2782.85","37600","0.28","104635","38119","2266","3270","2018/1/24","2828","0.71","2017/4/6","1951","43.93"
"1414","ショーボンドホールディングス","東証一部","建設","2018/2/21 15:00","7640","260","3.52","7380","7390","7720","7370","7628.27","140700","0.5","1073297","216767","5880","8880","2018/1/30","8960","14.73","2017/2/1","4740","61.18"
"1417","ミライト・ホールディングス","東証一部","建設","2018/2/21 15:00","1670","25","1.52","1645","1660","1692","1647","1675.78","510300","0.6","855150","142588","1245","2045","2018/2/5","1760","5.11","2017/2/1","1023","63.25"
"1418","インターライフホールディングス","JQS","建設","2018/2/21 15:00","306","6","2","300","302","310","301","305.52","60500","0.3","18484","6123","220","380","2017/2/23","365","16.16","2017/4/13","234","30.77"
"1419","タマホーム","東証一部","建設","2018/2/21 15:00","1183","8","0.68","1175","1167","1194","1167","1180.08","106400","0.35","125561","35556","875","1475","2018/1/29","1267","6.63","2017/1/4","526","124.9"
"1420","サンヨーホームズ","東証一部","建設","2018/2/21 15:00","878","2","0.23","876","869","882","866","873.35","53100","0.42","46375","11080","726","1026","2018/1/4","1122","21.75","2017/4/17","603","45.61"
"1429","日本アクア","東証マザ","建設","2018/2/21 15:00","515","11","2.18","504","510","524","509","516.94","71200","0.21","36806","17829","404","604","2017/6/28","583","11.66","2017/4/7","360","43.06"
"1430","ファーストコーポレーション","東証一部","建設","2018/2/21 15:00","1493","-6","-0.4","1499","1488","1505","1475","1492.63","47600","0.36","71049","19935","1199","1799","2018/1/24","1729","13.65","2017/1/23","884","68.89"
"1431","エスケーホーム","福証QB","建設","2018/2/21 14:54","1100","-18","-1.61","1118","1102","1110","1090","1100.67","3000","0.12","3302","2780","818","1418","2018/1/30","1248","11.86","2017/1/5","400","175"
"1433","ベステラ","東証一部","建設","2018/2/21 15:00","1871","24","1.3","1847","1848","1898","1847","1875.84","22100","0.26","41456","15629","1447","2247","2017/1/18","2800","33.18","2018/2/14","1690","10.71"
"1434","JESCOホールディングス","東証二部","建設","2018/2/21 15:00","562","-2","-0.35","564","566","579","560","568.79","62000","0.96","35265","3615","464","664","2018/1/23","788","28.68","2017/4/19","397","41.56"
"1435","インベスターズクラウド","東証一部","建設","2018/2/21 15:00","2134","120","5.96","2014","2033","2142","2006","2080.39","1387400","1.75","2886329","168712","1514","2514","2018/2/21","2142","0.37","2017/2/8","738","189.16"
"1436","フィット","東証マザ","建設","2018/2/21 15:00","1089","31","2.93","1058","1057","1095","1056","1077.16","8800","0.21","9479","4663","758","1358","2017/6/5","2323","53.12","2017/1/4","951","14.51"
"1438","岐阜造園","名証二部","建設","2018/2/21 14:51","1340","0","0","1340","1350","1350","1340","1346.43","1400","0.1","1885","1945","1040","1640","2017/6/27","1551","13.6","2017/1/4","1055","27.01"
"1439","安江工務店","JQS","建設","2018/2/21 15:00","1451","-13","-0.89","1464","1456","1469","1439","1449.59","4900","0.38","7103","1894","1164","1764","2017/2/24","2580","43.76","2017/11/15","1211","19.82"
"1443","技研ホールディングス","東証二部","建設","2018/2/21 15:00","306","26","9.29","280","285","317","284","302.36","274000","1.69","82846","4969","200","360","2018/1/9","368","16.85","2018/2/6","242","26.45"
"1491","中外鉱業","東証二部","非鉄金属","2018/2/21 15:00","27","1","3.85","26","26","27","26","26.4","90000","0.03","2376","7823","1","56","2017/8/10","37","27.03","2017/4/12","25","8"
"1514","住石ホールディングス","東証一部","鉱業","2018/2/21 15:00","157","-1","-0.63","158","158","160","156","158.11","1158400","1.97","183155","9246","108","208","2018/1/22","205","23.41","2017/4/14","89","76.4"
"1515","日鉄鉱業","東証一部","鉱業","2018/2/21 15:00","7210","130","1.84","7080","7190","7260","7100","7186.32","26100","0.31","187563","60220","5580","8580","2017/10/31","8490","15.08","2017/1/18","5390","33.77"
"1518","三井松島産業","東証一部","鉱業","2018/2/21 15:00","1508","6","0.4","1502","1485","1509","1484","1500.44","81800","0.63","122736","19701","1102","1902","2018/1/11","1679","10.18","2017/5/12","1266","19.12"
"1605","国際石油開発帝石","東証一部","鉱業","2018/2/21 15:00","1319","-7","-0.53","1326","1329","1335.5","1313.5","1322.31","3583700","0.25","4738748","1928805","1026","1626","2018/1/15","1529","13.73","2017/5/31","988","33.5"
"1606","日本海洋掘削","東証一部","鉱業","2018/2/21 15:00","2286","106","4.86","2180","2179","2295","2178","2252.84","337200","1.87","759657","41148","1680","2680","2018/1/15","3560","35.79","2017/8/14","2017","13.34"
"1662","石油資源開発","東証一部","鉱業","2018/2/21 15:00","2585","-18","-0.69","2603","2603","2625","2569","2593.01","142200","0.25","368726","147745","2103","3105","2018/1/29","3340","22.6","2017/9/11","2070","24.88"
"1663","K＆Oエナジーグループ","東証一部","鉱業","2018/2/21 15:00","1700","-5","-0.29","1705","1698","1717","1696","1702.32","19000","0.06","32344","51571","1305","2105","2017/10/23","1970","13.71","2018/2/6","1613","5.39"
"1711","省電舎ホールディングス","東証二部","建設","2018/2/21 15:00","1359","28","2.1","1331","1340","1424","1325","1379.77","179600","6.53","247806","3740","1031","1631","2017/12/26","1711","20.57","2017/9/11","657","106.85"
"1712","ダイセキ環境ソリューション","東証一部","建設","2018/2/21 15:00","1188","22","1.89","1166","1166","1206","1164","1189.84","18600","0.11","22131","19991","866","1466","2017/7/27","1483","19.89","2018/2/9","1022","16.24"
"1716","第一カッター興業","東証一部","建設","2018/2/21 15:00","2364","127","5.68","2237","2275","2416","2265","2354.35","149300","2.49","351504","14184","1737","2737","2018/2/21","2416","2.15","2017/4/13","929","154.47"
"1717","明豊ファシリティワークス","JQS","建設","2018/2/21 15:00","473","-7","-1.46","480","479","480","472","476.34","27600","0.22","13147","6043","400","560","2017/12/14","535","11.59","2017/4/14","315","50.16"
"1718","美樹工業","JQS","建設","2018/2/21 14:25","5040","10","0.2","5030","5030","5040","5000","5025","600","0.05","3015","5812","4030","6030","2017/11/27","5500","8.36","2017/2/20","4230","19.15"
"1719","安藤・間","東証一部","建設","2018/2/21 15:00","795","6","0.76","789","784","798","782","792.17","1576800","0.85","1249088","147241","639","939","2017/11/7","953","16.58","2017/6/23","657","21"
"1720","東急建設","東証一部","建設","2018/2/21 15:00","1250","47","3.91","1203","1215","1265","1213","1243.01","1501500","1.41","1866375","133452","903","1503","2018/2/21","1265","1.19","2017/4/17","815","53.37"
"1721","コムシスホールディングス","東証一部","建設","2018/2/21 15:00","2817","22","0.79","2795","2795","2828","2786","2810","771600","0.55","2168196","397197","2295","3295","2017/12/19","3360","16.16","2017/4/19","1957","43.94"
"1722","ミサワホーム","東証一部","建設","2018/2/21 15:00","898","18","2.05","880","885","904","884","895.8","184700","0.43","165454","38677","730","1030","2017/1/6","1133","20.74","2018/2/15","808","11.14"
"1723","日本電技","JQS","建設","2018/2/21 15:00","2963","-7","-0.24","2970","3000","3030","2938","2989.17","7200","0.09","21522","24289","2470","3470","2017/7/25","3140","5.64","2017/1/4","2021","46.61"
"1724","シンクレイヤ","JQS","建設","2018/2/21 15:00","774","32","4.31","742","737","779","737","760.03","62100","1.54","47198","3122","592","892","2018/1/16","1145","32.4","2017/1/11","373","107.51"
"1726","ビーアールホールディングス","東証一部","建設","2018/2/21 15:00","482","0","0","482","482","485","478","482.13","88000","0.22","42427","19135","402","562","2018/2/2","535","9.91","2017/1/4","251","92.03"
"1728","ミサワホーム中国","JQS","建設","2018/2/21 15:00","264","0","0","264","264","264","264","264","3000","0.03","792","3047","184","344","2017/2/2","327","19.27","2017/4/14","260","1.54"
"1730","麻生フオームクリート","JQS","建設","2018/2/21 15:00","686","-10","-1.44","696","706","706","680","692.55","10200","0.3","7064","2346","596","796","2017/11/24","1441","52.39","2017/1/26","336","104.17"
"1734","北弘電社","札証","建設","2018/2/21 12:56","4050","-95","-2.29","4145","4050","4050","4050","4050","200","0.03","810","2633","3445","4845","2018/1/23","4250","4.71","2017/2/9","3480","16.38"
"1736","オーテック","JQS","建設","2018/2/21 15:00","1810","0","0","1810","1825","1825","1801","1812.22","900","0.02","1631","10317","1410","2210","2017/3/28","1840","1.63","2017/1/4","1108","63.36"
"1737","三井金属エンジニアリング","東証二部","建設","2018/2/21 15:00","1540","13","0.85","1527","1526","1540","1520","1532.12","8500","0.07","13023","19681","1127","1927","2018/1/29","1610","4.35","2017/4/13","1050","46.67"
"1738","NITTOH","名証二部","建設","-","-","0","0","674","-","-","-","-","-","0","-","2737","574","774","2018/2/2","734","100","2017/3/29","403","-100"
"1739","シード平和","JQG","建設","2018/2/21 15:00","1862","-4","-0.21","1866","1851","1879","1850","1866.24","8500","0.26","15863","6009","1466","2266","2017/9/22","2070","10.05","2017/4/14","1107","68.2"
"1743","コーアツ工業","東証二部","建設","2018/2/21 12:42","2970","-15","-0.5","2985","2985","3000","2970","2979.29","1400","0.18","4171","2257","2485","3485","2018/2/14","3460","14.16","2017/1/4","2250","32"
"1757","クレアホールディングス","東証二部","建設","2018/2/21 15:00","24","-2","-7.69","26","26","26","24","25.12","1784500","1.64","44822","2612","1","56","2017/3/31","52","53.85","2017/12/25","21","14.29"
"1758","太洋基礎工業","JQS","建設","-","-","0","0","1330","-","-","-","-","-","0","-","5450","1030","1630","2018/1/5","1449","100","2017/1/12","718","-100"
"1762","高松コンストラクショングループ","東証一部","建設","2018/2/21 15:00","2948","7","0.24","2941","2936","2967","2936","2950.09","11000","0.03","32451","114618","2441","3445","2017/12/28","3210","8.16","2017/1/12","2456","20.03"
"1764","工藤建設","東証二部","建設","-","-","0","0","2160","-","-","-","-","-","0","-","2875","1660","2660","2017/12/11","3090","100","2018/2/6","2140","-100"
"1766","東建コーポレーション","東証一部","建設","2018/2/21 15:00","12020","90","0.75","11930","11960","12170","11900","12028.66","38700","0.29","465509","161933","8930","14930","2017/8/23","15760","23.73","2017/2/3","7870","52.73"
"1768","ソネック","東証一部","建設","2018/2/21 15:00","779","-1","-0.13","780","779","785","779","781.43","1400","0.02","1094","5843","630","930","2017/9/26","905","13.92","2017/2/1","616","26.46"
"1770","藤田エンジニアリング","JQS","建設","2018/2/21 15:00","908","1","0.11","907","904","921","903","910.27","22300","0.19","20299","10624","757","1057","2017/11/24","1128","19.5","2017/4/13","505","79.8"
"1771","日本乾溜工業","福証","建設","2018/2/21 14:02","442","-8","-1.78","450","454","454","442","445.83","1200","0.02","535","2255","370","530","2017/9/26","533","17.07","2017/2/6","351","25.93"
"1773","ワイ・ティー・エル・コーポレーション・バーハッド","東証一部","建設","-","-","0","0","40","-","-","-","-","-","-","-","-","10","70","2017/1/19","58","100","2017/11/20","30","-100"
"1775","富士古河E＆C","東証二部","建設","2018/2/21 09:43","381","-2","-0.52","383","381","381","380","380.75","4000","0.01","1523","17196","303","463","2017/6/5","410","7.07","2017/4/17","306","24.51"
"1776","三井住建道路","東証二部","建設","2018/2/21 15:00","367","-1","-0.27","368","368","369","367","368.46","13000","0.07","4790","6810","288","448","2018/1/10","399","8.02","2017/4/12","225","63.11"
"1777","川崎設備工業","名証二部","建設","2018/2/21 10:41","592","-2","-0.34","594","592","592","592","592.5","400","0","237","7104","494","694","2018/1/29","675","12.3","2017/1/25","260","127.69"
"1780","ヤマウラ","東証一部","建設","2018/2/21 15:00","959","-30","-3.03","989","989","992","958","975.01","54700","0.26","53333","20238","839","1139","2017/8/23","1068","10.21","2017/1/18","553","73.42"
"1782","常磐開発","JQS","建設","2018/2/21 14:54","9000","110","1.24","8890","8800","9000","8690","8901.29","3100","0.39","27594","7065","7390","10390","2018/1/19","9180","1.96","2017/1/4","4970","81.09"
"1783","アジアゲートホールディングス","JQS","建設","2018/2/21 15:00","81","1","1.25","80","81","82","80","80.8","105400","0.18","8516","4653","50","110","2017/7/21","113","28.32","2017/4/13","72","12.5"
"1787","ナカボーテック","JQS","建設","2018/2/21 14:24","1540","1","0.06","1539","1539","1540","1539","1539.67","3000","0.06","4619","8016","1139","1939","2018/1/22","1680","8.33","2017/4/17","1150","33.91"
