"SC","名称","市場","業種","日時","株価","前日比","前日比（％）","前日終値","始値","高値","安値","VWAP","出来高","出来高率","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限","高値日付","年初来高値","年初来高値乖離率","安値日付","年初来安値","年初来安値乖離率"
"0001","日経225（日経平均株価）","東証","株価指数","2018/3/2 15:15","21181.64","-542.83","-2.5","21724.47","21339.98","21366.09","21088.96","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","2018/3/2 15:00","1708.34","-31.86","-1.83","1740.2","1711.46","1714.78","1700.65","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1301","極洋","東証一部","水産・農林","2018/3/2 15:00","3740","-30","-0.8","3770","3745","3755","3700","3732.99","31100","0.28","116096","40872","3070","4470","2018/1/10","4460","16.14","2017/1/18","2681","39.5"
"1332","日本水産","東証一部","水産・農林","2018/3/2 15:00","531","-12","-2.21","543","533","535","527","530.86","2535500","0.81","1346007","165900","443","643","2017/11/2","719","26.15","2017/4/19","510","4.12"
"1333","マルハニチロ","東証一部","水産・農林","2018/3/2 15:00","3175","-5","-0.16","3180","3165","3200","3160","3176.33","215300","0.41","683864","167186","2480","3880","2017/3/21","3580","11.31","2017/7/11","2903","9.37"
"1352","ホウスイ","東証一部","卸売","2018/3/2 15:00","1172","3","0.26","1169","1190","1190","1165","1179.47","1900","0.02","2241","9820","869","1469","2017/6/20","1400","16.29","2018/2/15","1122","4.46"
"1376","カネコ種苗","東証一部","水産・農林","2018/3/2 15:00","1569","-51","-3.15","1620","1593","1607","1566","1577.83","8300","0.07","13096","18471","1220","2020","2017/12/6","1820","13.79","2017/4/7","1365","14.95"
"1377","サカタのタネ","東証一部","水産・農林","2018/3/2 15:00","3565","-40","-1.11","3605","3545","3605","3545","3571.62","87400","0.18","312160","172584","2905","4305","2018/1/18","4095","12.94","2017/2/8","3110","14.63"
"1379","ホクト","東証一部","水産・農林","2018/3/2 15:00","2059","-20","-0.96","2079","2058","2062","2051","2057.18","62800","0.19","129191","68686","1579","2579","2017/3/14","2227","7.54","2017/8/15","1896","8.6"
"1380","秋川牧園","JQS","水産・農林","2018/3/2 09:12","711","-19","-2.6","730","705","711","705","705.56","900","0.02","635","2971","580","880","2018/1/17","755","5.83","2017/1/10","560","26.96"
