"SC","名称","市場","業種","日時","株価","前日比","前日比（％）","前日終値","始値","高値","安値","VWAP","出来高","出来高率","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限","高値日付","年初来高値","年初来高値乖離率","安値日付","年初来安値","年初来安値乖離率"
"0001","日経225（日経平均株価）","東証","株価指数","2018/1/18 15:15","23763.37","-104.97","-0.44","23868.34","24078.93","24084.42","23699.47","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","2018/1/18 15:00","1876.86","-13.96","-0.74","1890.82","1906.39","1906.39","1874.78","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1301","極洋","東証一部","水産・農林","2018/1/18 15:00","4170","-85","-2","4255","4275","4280","4160","4213.34","47300","0.43","199291","45571","3555","4955","2018/1/10","4460","6.5","2017/1/18","2681","55.54"
"1332","日本水産","東証一部","水産・農林","2018/1/18 15:00","586","-3","-0.51","589","591","595","585","588.58","3191300","1.02","1878321","183084","489","689","2017/11/2","719","18.5","2017/4/19","510","14.9"
"1333","マルハニチロ","東証一部","水産・農林","2018/1/18 15:00","3180","-55","-1.7","3235","3235","3245","3175","3199.44","317600","0.6","1016142","167449","2535","3935","2017/3/21","3580","11.17","2017/7/11","2903","9.54"
"1352","ホウスイ","東証一部","卸売","2018/1/18 15:00","1195","-1","-0.08","1196","1191","1208","1191","1195.32","4700","0.06","5618","10013","896","1496","2017/6/20","1400","14.64","2017/4/13","1130","5.75"
"1376","カネコ種苗","東証一部","水産・農林","2018/1/18 15:00","1699","-6","-0.35","1705","1706","1716","1699","1705.33","4500","0.04","7674","20002","1305","2105","2017/12/6","1820","6.65","2017/4/7","1365","24.47"
"1377","サカタのタネ","東証一部","水産・農林","2018/1/18 15:00","3925","-110","-2.73","4035","4060","4095","3915","3987.86","171800","0.35","685114","190012","3335","4735","2018/1/18","4095","4.15","2017/2/8","3110","26.21"
"1379","ホクト","東証一部","水産・農林","2018/1/18 15:00","2021","-44","-2.13","2065","2062","2063","2020","2038.86","182900","0.55","372908","67419","1565","2565","2017/3/14","2227","9.25","2017/8/15","1896","6.59"
"1380","秋川牧園","JQS","水産・農林","2018/1/18 14:34","715","26","3.77","689","753","753","715","733.71","3500","0.08","2568","2988","589","789","2018/1/17","755","5.3","2017/1/10","560","27.68"
