"SC","名称","市場","業種","日時","株価","前日比","前日比（％）","前日終値","始値","高値","安値","VWAP","出来高","出来高率","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限","高値日付","年初来高値","年初来高値乖離率","安値日付","年初来安値","年初来安値乖離率"
"0001","日経225（日経平均株価）","東証","株価指数","2018/2/20 15:15","21925.1","-224.11","-1.01","22149.21","22054.32","22063.87","21831.45","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","2018/2/20 15:00","1762.45","-12.7","-0.72","1775.15","1767.96","1768.28","1752.75","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1301","極洋","東証一部","水産・農林","2018/2/20 15:00","3895","15","0.39","3880","3920","3920","3870","3897.86","27600","0.25","107581","42566","3180","4580","2018/1/10","4460","12.67","2017/1/18","2681","45.28"
"1332","日本水産","東証一部","水産・農林","2018/2/20 15:00","538","0","0","538","541","543","536","539.43","1934000","0.62","1043252","168087","438","638","2017/11/2","719","25.17","2017/4/19","510","5.49"
"1333","マルハニチロ","東証一部","水産・農林","2018/2/20 15:00","3345","15","0.45","3330","3320","3355","3310","3336.95","137600","0.26","459164","176137","2630","4030","2017/3/21","3580","6.56","2017/7/11","2903","15.23"
"1352","ホウスイ","東証一部","卸売","2018/2/20 14:53","1163","12","1.04","1151","1162","1163","1162","1165","200","0","233","9745","851","1451","2017/6/20","1400","16.93","2018/2/15","1122","3.65"
"1376","カネコ種苗","東証一部","水産・農林","2018/2/20 15:00","1594","-11","-0.69","1605","1605","1608","1594","1600","3500","0.03","5600","18766","1205","2005","2017/12/6","1820","12.42","2017/4/7","1365","16.78"
"1377","サカタのタネ","東証一部","水産・農林","2018/2/20 15:00","3680","-10","-0.27","3690","3695","3705","3650","3681.81","51500","0.11","189613","178152","2990","4390","2018/1/18","4095","10.13","2017/2/8","3110","18.33"
"1379","ホクト","東証一部","水産・農林","2018/2/20 15:00","2065","-15","-0.72","2080","2075","2075","2052","2062.44","67500","0.2","139215","68886","1580","2580","2017/3/14","2227","7.27","2017/8/15","1896","8.91"
"1380","秋川牧園","JQS","水産・農林","2018/2/20 14:11","735","26","3.67","709","709","740","709","720.8","2500","0.06","1802","3072","559","859","2018/1/17","755","2.65","2017/1/10","560","31.25"
"1381","アクシーズ","JQS","水産・農林","2018/2/20 15:00","4725","-115","-2.38","4840","4785","4785","4605","4699.23","2600","0.05","12218","26543","4140","5540","2018/2/19","5000","5.5","2017/1/18","1900","148.68"
"1382","ホーブ","JQS","水産・農林","2018/2/20 15:00","1001","9","0.91","992","1000","1017","1000","1004.06","3200","0.42","3213","763","842","1142","2018/1/31","1740","42.47","2017/12/26","940","6.49"
"1383","ベルグアース","JQS","水産・農林","2018/2/20 15:00","2350","72","3.16","2278","2304","2359","2280","2324.83","6000","0.47","13949","2984","1778","2778","2018/1/15","3225","27.13","2017/1/4","942","149.47"
"1384","ホクリヨウ","東証一部","水産・農林","2018/2/20 15:00","1483","13","0.88","1470","1476","1498","1439","1470.74","28400","0.34","41769","12545","1170","1770","2018/1/26","1680","11.73","2017/1/18","720","105.97"
"1400","ルーデン・ホールディングス","JQG","建設","2018/2/20 15:00","514","80","18.43","434","435","514","435","484.28","411300","3.62","199185","5845","354","514","2018/1/19","840","38.81","2017/4/13","146","252.05"
"1401","エムビーエス","東証マザ","建設","2018/2/20 15:00","870","-8","-0.91","878","870","876","863","868.64","11000","0.15","9555","6329","728","1028","2018/1/29","980","11.22","2017/1/4","347","150.72"
"1407","ウエストホールディングス","JQS","建設","2018/2/20 15:00","715","5","0.7","710","710","716","708","712.06","40300","0.15","28696","19473","560","860","2017/1/5","885","19.21","2018/2/14","674","6.08"
"1408","サムシングホールディングス","JQG","建設","2018/2/20 15:00","482","-1","-0.21","483","484","485","482","482.94","1700","0.04","821","1983","403","563","2017/12/5","672","28.27","2017/4/14","435","10.8"
"1413","桧家ホールディングス","東証二部","建設","2018/2/20 15:00","2766","36","1.32","2730","2734","2790","2690","2746.75","34800","0.26","95587","37548","2230","3230","2018/1/24","2828","2.19","2017/4/6","1951","41.77"
"1414","ショーボンドホールディングス","東証一部","建設","2018/2/20 15:00","7380","-100","-1.34","7480","7490","7490","7350","7399.95","60000","0.21","443997","209390","5980","8980","2018/1/30","8960","17.63","2017/2/1","4740","55.7"
"1417","ミライト・ホールディングス","東証一部","建設","2018/2/20 15:00","1645","18","1.11","1627","1646","1666","1627","1646.08","481900","0.56","793247","140453","1227","2027","2018/2/5","1760","6.53","2017/2/1","1023","60.8"
"1418","インターライフホールディングス","JQS","建設","2018/2/20 15:00","300","-3","-0.99","303","303","303","299","301.23","29200","0.15","8796","6003","223","383","2017/2/23","365","17.81","2017/4/13","234","28.21"
"1419","タマホーム","東証一部","建設","2018/2/20 15:00","1175","1","0.09","1174","1172","1184","1160","1172.85","76900","0.26","90192","35316","874","1474","2018/1/29","1267","7.26","2017/1/4","526","123.38"
