"SC","名称","市場","業種","日時","株価","前日比","前日比（％）","前日終値","始値","高値","安値","VWAP","出来高","出来高率","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限","高値日付","年初来高値","年初来高値乖離率","安値日付","年初来安値","年初来安値乖離率"
"0001","日経225（日経平均株価）","東証","株価指数","2018/2/19 15:15","22149.21","428.96","1.97","21720.25","21903.66","22152.85","21858.33","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","2018/2/19 15:00","1775.15","37.78","2.17","1737.37","1753.15","1775.15","1750.13","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1301","極洋","東証一部","水産・農林","2018/2/19 15:00","3880","60","1.57","3820","3850","3890","3845","3869.25","24000","0.22","92862","42402","3120","4520","2018/1/10","4460","13","2017/1/18","2681","44.72"
"1332","日本水産","東証一部","水産・農林","2018/2/19 15:00","538","16","3.07","522","523","539","523","535.1","2435600","0.78","1303295","168087","422","622","2017/11/2","719","25.17","2017/4/19","510","5.49"
"1333","マルハニチロ","東証一部","水産・農林","2018/2/19 15:00","3330","80","2.46","3250","3275","3340","3270","3318.04","137100","0.26","454903","175348","2550","3950","2017/3/21","3580","6.98","2017/7/11","2903","14.71"
"1352","ホウスイ","東証一部","卸売","2018/2/19 10:18","1151","12","1.05","1139","1151","1151","1151","1150","300","0","345","9644","839","1439","2017/6/20","1400","17.79","2018/2/15","1122","2.58"
"1376","カネコ種苗","東証一部","水産・農林","2018/2/19 15:00","1605","38","2.43","1567","1596","1624","1582","1603.86","5700","0.05","9142","18895","1167","1967","2017/12/6","1820","11.81","2017/4/7","1365","17.58"
"1377","サカタのタネ","東証一部","水産・農林","2018/2/19 15:00","3690","70","1.93","3620","3670","3690","3640","3677.28","59500","0.12","218798","178636","2920","4320","2018/1/18","4095","9.89","2017/2/8","3110","18.65"
"1379","ホクト","東証一部","水産・農林","2018/2/19 15:00","2080","38","1.86","2042","2048","2080","2041","2068.87","143200","0.43","296262","69387","1542","2542","2017/3/14","2227","6.6","2017/8/15","1896","9.7"
"1380","秋川牧園","JQS","水産・農林","2018/2/19 10:17","709","2","0.28","707","709","709","701","708.24","1700","0.04","1204","2963","557","857","2018/1/17","755","6.09","2017/1/10","560","26.61"
"1381","アクシーズ","JQS","水産・農林","2018/2/19 14:53","4840","160","3.42","4680","4850","5000","4840","4898.68","5300","0.09","25963","27189","3980","5380","2018/2/19","5000","3.2","2017/1/18","1900","154.74"
"1382","ホーブ","JQS","水産・農林","2018/2/19 15:00","992","-16","-1.59","1008","989","995","989","991.88","1600","0.21","1587","756","708","1308","2018/1/31","1740","42.99","2017/12/26","940","5.53"
"1383","ベルグアース","JQS","水産・農林","2018/2/19 15:00","2278","87","3.97","2191","2178","2278","2178","2219.26","5400","0.43","11984","2893","1691","2691","2018/1/15","3225","29.36","2017/1/4","942","141.83"
"1384","ホクリヨウ","東証一部","水産・農林","2018/2/19 15:00","1470","64","4.55","1406","1430","1494","1426","1462.65","39200","0.46","57336","12435","1106","1706","2018/1/26","1680","12.5","2017/1/18","720","104.17"
"1400","ルーデン・ホールディングス","JQG","建設","2018/2/19 15:00","434","16","3.83","418","420","445","418","431.95","76500","0.67","33044","4936","338","498","2018/1/19","840","48.33","2017/4/13","146","197.26"
"1401","エムビーエス","東証マザ","建設","2018/2/19 15:00","878","31","3.66","847","850","878","847","868.81","25300","0.35","21981","6387","697","997","2018/1/29","980","10.41","2017/1/4","347","153.03"
"1407","ウエストホールディングス","JQS","建設","2018/2/19 15:00","710","16","2.31","694","704","714","701","708.83","68300","0.25","48413","19337","594","794","2017/1/5","885","19.77","2018/2/14","674","5.34"
