"SC","名称","市場","業種","日時","株価","前日比","前日比（％）","前日終値","始値","高値","安値","VWAP","出来高","出来高率","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限","高値日付","年初来高値","年初来高値乖離率","安値日付","年初来安値","年初来安値乖離率"
"0001","日経225（日経平均株価）","東証","株価指数","2018/1/9 15:15","23849.99","135.46","0.57","23714.53","23948.97","23952.61","23789.03","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","2018/1/9 15:00","1889.29","8.95","0.48","1880.34","1895.08","1895.26","1883.1","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1301","極洋","東証一部","水産・農林","2018/1/9 15:00","4340","0","0","4340","4340","4360","4325","4341.26","26100","0.24","113307","47429","3640","5040","2017/12/26","4415","1.7","2017/1/18","2681","61.88"
"1332","日本水産","東証一部","水産・農林","2018/1/9 15:00","596","6","1.02","590","593","598","591","595.9","4979600","1.59","2967357","186208","490","690","2017/11/2","719","17.11","2017/4/19","510","16.86"
"1333","マルハニチロ","東証一部","水産・農林","2018/1/9 15:00","3390","-25","-0.73","3415","3385","3410","3370","3390.1","256700","0.49","870239","178507","2715","4115","2017/3/21","3580","5.31","2017/7/11","2903","16.78"
"1352","ホウスイ","東証一部","卸売","2018/1/9 14:05","1219","24","2.01","1195","1193","1219","1193","1211.36","2200","0.03","2665","10214","895","1495","2017/6/20","1400","12.93","2017/4/13","1130","7.88"
"1376","カネコ種苗","東証一部","水産・農林","2018/1/9 15:00","1753","-16","-0.9","1769","1730","1753","1730","1741.25","11200","0.1","19502","20637","1369","2169","2017/12/6","1820","3.68","2017/4/7","1365","28.42"
"1377","サカタのタネ","東証一部","水産・農林","2018/1/9 15:00","3960","-70","-1.74","4030","4030","4050","3950","3977.15","88300","0.18","351182","191707","3330","4730","2018/1/5","4060","2.46","2017/2/8","3110","27.33"
"1379","ホクト","東証一部","水産・農林","2018/1/9 15:00","2087","8","0.38","2079","2085","2094","2082","2088.41","88600","0.27","185033","69620","1579","2579","2017/3/14","2227","6.29","2017/8/15","1896","10.07"
"1380","秋川牧園","JQS","水産・農林","2018/1/9 13:11","655","10","1.55","645","650","665","648","654.57","3500","0.08","2291","2737","545","745","2017/7/12","669","2.09","2017/1/10","560","16.96"
"1381","アクシーズ","JQS","水産・農林","2018/1/9 14:50","3995","-25","-0.62","4020","4010","4010","3960","3975.75","4000","0.07","15903","22442","3320","4720","2017/10/2","4320","7.52","2017/1/18","1900","110.26"
"1382","ホーブ","JQS","水産・農林","-","-","0","0","952","-","-","-","-","-","0","-","725","802","1102","2017/1/13","1260","100","2017/12/26","940","-100"
"1383","ベルグアース","JQS","水産・農林","2018/1/9 15:00","2100","18","0.86","2082","2124","2126","2030","2074.27","43600","3.43","90438","2667","1582","2582","2017/12/29","2542","17.39","2017/1/4","942","122.93"
"1384","ホクリヨウ","東証一部","水産・農林","2018/1/9 15:00","1241","8","0.65","1233","1240","1249","1228","1238.8","105700","1.25","130941","10498","933","1533","2017/10/3","1268","2.13","2017/1/18","720","72.36"
"1400","ルーデン・ホールディングス","JQG","建設","2018/1/9 15:00","387","-12","-3.01","399","391","404","376","386.96","185000","1.79","71587","4010","319","479","2017/6/1","454","14.76","2017/4/13","146","165.07"
"1401","エムビーエス","東証マザ","建設","2018/1/9 15:00","857","0","0","857","843","860","834","847.57","109000","1.5","92385","6235","707","1007","2017/3/31","950","9.79","2017/1/4","347","146.97"
"1407","ウエストホールディングス","JQS","建設","2018/1/9 15:00","774","9","1.18","765","765","774","765","768.6","113500","0.42","87236","21080","615","915","2017/1/5","885","12.54","2017/12/26","710","9.01"
"1408","サムシングホールディングス","JQG","建設","2018/1/9 14:59","516","2","0.39","514","513","518","511","514.55","13400","0.33","6895","2123","414","614","2017/12/5","672","23.21","2017/4/14","435","18.62"
"1413","桧家ホールディングス","東証二部","建設","2018/1/9 15:00","2538","44","1.76","2494","2493","2550","2493","2524.31","28100","0.21","70933","34453","1994","2994","2017/10/12","2620","3.13","2017/4/6","1951","30.09"
"1414","ショーボンドホールディングス","東証一部","建設","2018/1/9 15:00","8560","210","2.51","8350","8500","8580","8420","8522.92","135400","0.48","1154004","242869","6850","9850","2018/1/9","8580","0.23","2017/2/1","4740","80.59"
"1417","ミライト・ホールディングス","東証一部","建設","2018/1/9 15:00","1702","2","0.12","1700","1707","1728","1697","1707.6","320200","0.38","546772","145320","1300","2100","2018/1/9","1728","1.5","2017/2/1","1023","66.37"
"1418","インターライフホールディングス","JQS","建設","2018/1/9 15:00","333","9","2.78","324","327","341","327","333.21","408500","2.04","136117","6664","244","404","2017/2/23","365","8.77","2017/4/13","234","42.31"
"1419","タマホーム","東証一部","建設","2018/1/9 15:00","892","36","4.21","856","860","892","859","876.33","300200","1","263074","26810","706","1006","2018/1/9","892","0","2017/1/4","526","69.58"
"1420","サンヨーホームズ","東証一部","建設","2018/1/9 15:00","1011","-51","-4.8","1062","1030","1037","1007","1018.14","238300","1.89","242623","12759","762","1362","2018/1/4","1122","9.89","2017/4/17","603","67.66"
"1429","日本アクア","東証マザ","建設","2018/1/9 15:00","520","4","0.78","516","520","521","516","518.64","25800","0.07","13381","18834","416","616","2017/6/28","583","10.81","2017/4/7","360","44.44"
"1430","ファーストコーポレーション","東証一部","建設","2018/1/9 15:00","1487","4","0.27","1483","1483","1495","1457","1475.92","112200","0.84","165598","19854","1183","1783","2017/12/27","1550","4.06","2017/1/23","884","68.21"
"1431","エスケーホーム","福証QB","建設","2018/1/9 15:30","1106","-23","-2.04","1129","1128","1137","1096","1120.45","8800","0.35","9860","2795","829","1429","2018/1/4","1137","2.73","2017/1/5","400","176.5"
"1433","ベステラ","東証一部","建設","2018/1/9 15:00","2236","23","1.04","2213","2231","2246","2218","2234.79","51400","0.62","114868","18678","1713","2713","2017/1/18","2800","20.14","2017/1/5","1757","27.26"
"1434","JESCOホールディングス","東証二部","建設","2018/1/9 15:00","609","34","5.91","575","580","638","579","607.09","897500","14.14","544866","3866","475","675","2018/1/9","638","4.55","2017/4/19","397","53.4"
"1435","インベスターズクラウド","東証一部","建設","2018/1/9 15:00","1539","36","2.4","1503","1500","1555","1493","1526.39","756500","0.96","1154712","121672","1103","1903","2017/12/26","1838","16.27","2017/2/8","738","108.54"
"1436","フィット","東証マザ","建設","2018/1/9 15:00","1121","8","0.72","1113","1122","1123","1114","1119.49","7900","0.18","8844","4800","813","1413","2017/6/5","2323","51.74","2017/1/4","951","17.88"
"1438","岐阜造園","名証二部","建設","2018/1/9 15:30","1285","0","0","1285","1285","1285","1285","1286.67","300","0.02","386","1866","985","1585","2017/6/27","1551","17.15","2017/1/4","1055","21.8"
"1439","安江工務店","JQS","建設","2018/1/9 15:00","1269","10","0.79","1259","1262","1275","1262","1268.82","1700","0.13","2157","1657","959","1559","2017/2/24","2580","50.81","2017/11/15","1211","4.79"
"1443","技研ホールディングス","東証二部","建設","2018/1/9 15:00","340","0","0","-","352","368","337","351.62","226000","1.39","79467","5521","256","416","-","-","-","-","-","-"
"1491","中外鉱業","東証二部","非鉄金属","2018/1/9 15:00","28","2","7.69","26","26","28","26","27.24","2096500","0.72","57109","8113","1","56","2017/8/10","37","24.32","2017/4/12","25","12"
"1514","住石ホールディングス","東証一部","鉱業","2018/1/9 15:00","175","7","4.17","168","169","176","168","172.14","4642200","7.88","799127","10306","118","218","2017/10/16","194","9.79","2017/4/14","89","96.63"
"1515","日鉄鉱業","東証一部","鉱業","2018/1/9 15:00","8260","-60","-0.72","8320","8320","8340","8240","8304.8","17300","0.21","143673","68990","6820","9820","2017/10/31","8490","2.71","2017/1/18","5390","53.25"
"1518","三井松島産業","東証一部","鉱業","2018/1/9 15:00","1651","26","1.6","1625","1635","1665","1625","1650.07","168700","1.29","278367","21569","1225","2025","2018/1/9","1665","0.84","2017/5/12","1266","30.41"
"1605","国際石油開発帝石","東証一部","鉱業","2018/1/9 15:00","1436.5","-11","-0.76","1447.5","1460","1462.5","1431.5","1441.11","6411500","0.44","9239648","2100628","1147.5","1747.5","2018/1/5","1478","2.81","2017/5/31","988","45.39"
"1606","日本海洋掘削","東証一部","鉱業","2018/1/9 15:00","2941","192","6.98","2749","2780","2941","2780","2882.22","431600","2.4","1243967","52938","2249","3250","2018/1/9","2941","0","2017/8/14","2017","45.81"
"1662","石油資源開発","東証一部","鉱業","2018/1/9 15:00","3135","20","0.64","3115","3145","3175","3130","3143.8","259200","0.45","814874","179180","2415","3815","2018/1/9","3175","1.26","2017/9/11","2070","51.45"
"1663","K＆Oエナジーグループ","東証一部","鉱業","2018/1/9 15:00","1898","-5","-0.26","1903","1902","1910","1874","1894.26","10800","0.04","20458","57578","1503","2303","2017/10/23","1970","3.65","2017/4/20","1635","16.09"
"1711","省電舎ホールディングス","東証二部","建設","2018/1/9 15:00","1247","-49","-3.78","1296","1308","1312","1242","1263.66","283500","10.3","358247","3432","996","1596","2017/12/26","1711","27.12","2017/9/11","657","89.8"
"1712","ダイセキ環境ソリューション","東証一部","建設","2018/1/9 15:00","1416","-18","-1.26","1434","1440","1449","1405","1421.65","37500","0.22","53312","23827","1134","1734","2017/7/27","1483","4.52","2017/1/5","1181","19.9"
"1716","第一カッター興業","東証一部","建設","2018/1/9 15:00","1973","8","0.41","1965","1958","1986","1950","1965.73","32100","0.53","63100","11838","1565","2365","2017/12/19","2100","6.05","2017/4/13","929","112.38"
"1717","明豊ファシリティワークス","JQS","建設","2018/1/9 15:00","485","0","0","485","486","488","483","484.47","57500","0.45","27857","6196","405","565","2017/12/14","535","9.35","2017/4/14","315","53.97"
"1718","美樹工業","JQS","建設","2018/1/9 14:56","5160","60","1.18","5100","5110","5170","5110","5133.53","1700","0.15","8727","5951","4100","6100","2017/11/27","5500","6.18","2017/2/20","4230","21.99"
"1719","安藤・間","東証一部","建設","2018/1/9 15:00","894","1","0.11","893","891","900","885","894.1","1596200","0.86","1427158","165577","743","1043","2017/11/7","953","6.19","2017/6/23","657","36.07"
"1720","東急建設","東証一部","建設","2018/1/9 15:00","1154","9","0.79","1145","1160","1167","1145","1152.85","555100","0.52","639948","123202","845","1445","2017/12/1","1183","2.45","2017/4/17","815","41.6"
"1721","コムシスホールディングス","東証一部","建設","2018/1/9 15:00","3290","-40","-1.2","3330","3330","3340","3285","3303.03","670600","0.48","2215015","463890","2630","4030","2017/12/19","3360","2.08","2017/4/19","1957","68.11"
"1722","ミサワホーム","東証一部","建設","2018/1/9 15:00","1031","11","1.08","1020","1020","1039","1013","1030.07","108700","0.25","111969","44405","720","1320","2017/1/6","1133","9","2017/9/6","919","12.19"
"1723","日本電技","JQS","建設","2018/1/9 15:00","3025","0","0","3025","3025","3030","3005","3018.3","4700","0.06","14186","24797","2325","3725","2017/7/25","3140","3.66","2017/1/4","2021","49.68"
"1724","シンクレイヤ","JQS","建設","2018/1/9 15:00","967","66","7.33","901","911","989","900","951.58","161800","4.01","153965","3901","751","1051","2018/1/9","989","2.22","2017/1/11","373","159.25"
"1726","ビーアールホールディングス","東証一部","建設","2018/1/9 15:00","484","13","2.76","471","476","486","475","481.09","204400","0.51","98334","19215","391","551","2018/1/9","486","0.41","2017/1/4","251","92.83"
"1728","ミサワホーム中国","JQS","建設","2018/1/9 09:00","282","2","0.71","280","283","283","282","282.25","4000","0.03","1129","3254","200","360","2017/2/2","327","13.76","2017/4/14","260","8.46"
"1730","麻生フオームクリート","JQS","建設","2018/1/9 15:00","898","-2","-0.22","900","896","922","882","899.12","18100","0.53","16274","3071","750","1050","2017/11/24","1441","37.68","2017/1/26","336","167.26"
"1734","北弘電社","札証","建設","2018/1/9 10:53","4195","95","2.32","4100","4085","4195","4085","4140","200","0.03","828","2727","3400","4800","2017/12/18","4210","0.36","2017/2/9","3480","20.55"
