"SC","名称","市場","業種","日時","株価","前日比","前日比（％）","前日終値","始値","高値","安値","VWAP","出来高","出来高率","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限","高値日付","年初来高値","年初来高値乖離率","安値日付","年初来安値","年初来安値乖離率"
"0001","日経225（日経平均株価）","東証","株価指数","2018/2/1 15:15","23486.11","387.82","1.68","23098.29","23276.1","23492.77","23211.12","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","2018/2/1 15:00","1870.44","33.73","1.84","1836.71","1849.53","1870.94","1847.01","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1301","極洋","東証一部","水産・農林","2018/2/1 15:00","4170","30","0.72","4140","4150","4195","4130","4163.97","21400","0.2","89109","45571","3440","4840","2018/1/10","4460","6.5","2017/1/18","2681","55.54"
"1332","日本水産","東証一部","水産・農林","2018/2/1 15:00","586","6","1.03","580","584","586","582","584.03","3037000","0.97","1773711","183084","480","680","2017/11/2","719","18.5","2017/4/19","510","14.9"
"1333","マルハニチロ","東証一部","水産・農林","2018/2/1 15:00","3245","30","0.93","3215","3225","3255","3220","3237.92","131900","0.25","427081","170872","2515","3915","2017/3/21","3580","9.36","2017/7/11","2903","11.78"
"1352","ホウスイ","東証一部","卸売","2018/2/1 15:00","1192","12","1.02","1180","1195","1197","1191","1192","1500","0.02","1788","9988","880","1480","2017/6/20","1400","14.86","2017/4/13","1130","5.49"
"1376","カネコ種苗","東証一部","水産・農林","2018/2/1 15:00","1656","21","1.28","1635","1637","1665","1637","1650.28","10900","0.09","17988","19495","1235","2035","2017/12/6","1820","9.01","2017/4/7","1365","21.32"
"1377","サカタのタネ","東証一部","水産・農林","2018/2/1 15:00","3885","55","1.44","3830","3835","3900","3820","3862.82","78700","0.16","304004","188076","3130","4530","2018/1/18","4095","5.13","2017/2/8","3110","24.92"
"1379","ホクト","東証一部","水産・農林","2018/2/1 15:00","2039","24","1.19","2015","2016","2039","2011","2024.17","91900","0.28","186021","68019","1515","2515","2017/3/14","2227","8.44","2017/8/15","1896","7.54"
"1380","秋川牧園","JQS","水産・農林","2018/2/1 11:22","724","0","0","724","726","730","724","728.82","1700","0.04","1239","3026","574","874","2018/1/17","755","4.11","2017/1/10","560","29.29"
"1381","アクシーズ","JQS","水産・農林","2018/2/1 14:46","4545","65","1.45","4480","4515","4545","4480","4507.11","3800","0.07","17127","25532","3780","5180","2018/1/31","4650","2.26","2017/1/18","1900","139.21"
"1382","ホーブ","JQS","水産・農林","2018/2/1 15:00","1339","17","1.29","1322","1282","1373","1231","1286.27","47500","6.23","61098","1020","1022","1622","2018/1/31","1740","23.05","2017/12/26","940","42.45"
"1383","ベルグアース","JQS","水産・農林","2018/2/1 15:00","2422","33","1.38","2389","2399","2422","2386","2402.22","4500","0.35","10810","3076","1889","2889","2018/1/15","3225","24.9","2017/1/4","942","157.11"
"1384","ホクリヨウ","東証一部","水産・農林","2018/2/1 15:00","1631","70","4.48","1561","1600","1662","1600","1627.74","47300","0.56","76992","13797","1161","1961","2018/1/26","1680","2.92","2017/1/18","720","126.53"
"1400","ルーデン・ホールディングス","JQG","建設","2018/2/1 15:00","526","-1","-0.19","527","537","542","523","532.78","132900","1.17","70806","5982","427","627","2018/1/19","840","37.38","2017/4/13","146","260.27"
"1401","エムビーエス","東証マザ","建設","2018/2/1 15:00","935","-8","-0.85","943","933","943","930","935.02","28700","0.39","26835","6802","793","1093","2018/1/29","980","4.59","2017/1/4","347","169.45"
"1407","ウエストホールディングス","JQS","建設","2018/2/1 15:00","746","8","1.08","738","740","746","739","742.95","27500","0.1","20431","20317","588","888","2017/1/5","885","15.71","2017/12/26","710","5.07"
"1408","サムシングホールディングス","JQG","建設","2018/2/1 14:57","522","1","0.19","521","521","523","520","521.48","2700","0.07","1408","2148","421","621","2017/12/5","672","22.32","2017/4/14","435","20"
"1413","桧家ホールディングス","東証二部","建設","2018/2/1 15:00","2695","23","0.86","2672","2673","2700","2672","2686.22","19300","0.14","51844","36585","2172","3175","2018/1/24","2828","4.7","2017/4/6","1951","38.13"
"1414","ショーボンドホールディングス","東証一部","建設","2018/2/1 15:00","8900","160","1.83","8740","8830","8930","8790","8890.84","98100","0.35","872191","252516","7240","10240","2018/1/30","8960","0.67","2017/2/1","4740","87.76"
"1417","ミライト・ホールディングス","東証一部","建設","2018/2/1 15:00","1651","42","2.61","1609","1608","1652","1602","1638.05","253100","0.3","414591","140965","1209","2009","2018/1/9","1728","4.46","2017/2/1","1023","61.39"
"1418","インターライフホールディングス","JQS","建設","2018/2/1 15:00","308","-2","-0.65","310","311","314","307","310","77800","0.39","24118","6163","230","390","2017/2/23","365","15.62","2017/4/13","234","31.62"
"1419","タマホーム","東証一部","建設","2018/2/1 15:00","1145","-45","-3.78","1190","1208","1208","1121","1154.51","378600","1.26","437099","34414","890","1490","2018/1/29","1267","9.63","2017/1/4","526","117.68"
"1420","サンヨーホームズ","東証一部","建設","2018/2/1 15:00","930","16","1.75","914","919","932","915","924.53","50500","0.4","46689","11737","764","1064","2018/1/4","1122","17.11","2017/4/17","603","54.23"
"1429","日本アクア","東証マザ","建設","2018/2/1 15:00","532","7","1.33","525","530","536","523","531.05","29600","0.09","15719","18418","425","625","2017/6/28","583","8.75","2017/4/7","360","47.78"
"1430","ファーストコーポレーション","東証一部","建設","2018/2/1 15:00","1650","23","1.41","1627","1640","1708","1640","1673.19","194200","1.45","324933","22031","1227","2027","2018/1/24","1729","4.57","2017/1/23","884","86.65"
"1431","エスケーホーム","福証QB","建設","2018/2/1 14:46","1220","21","1.75","1199","1199","1245","1199","1220.71","1400","0.06","1709","3083","899","1499","2018/1/30","1248","2.24","2017/1/5","400","205"
"1433","ベステラ","東証一部","建設","2018/2/1 15:00","2060","-29","-1.39","2089","2089","2094","2057","2065.27","51200","0.61","105742","17208","1589","2589","2017/1/18","2800","26.43","2017/1/5","1757","17.25"
"1434","JESCOホールディングス","東証二部","建設","2018/2/1 15:00","685","-3","-0.44","688","694","694","682","688.39","100000","1.55","68839","4406","588","788","2018/1/23","788","13.07","2017/4/19","397","72.54"
"1435","インベスターズクラウド","東証一部","建設","2018/2/1 15:00","1776","74","4.35","1702","1719","1780","1719","1761.08","342600","0.43","603345","140409","1302","2102","2018/1/24","1851","4.05","2017/2/8","738","140.65"
"1436","フィット","東証マザ","建設","2018/2/1 14:35","1124","-18","-1.58","1142","1145","1145","1120","1129.29","8500","0.2","9599","4813","842","1442","2017/6/5","2323","51.61","2017/1/4","951","18.19"
"1438","岐阜造園","名証二部","建設","2018/2/1 15:29","1345","-13","-0.96","1358","1328","1355","1320","1338.75","1600","0.11","2142","1953","1058","1658","2017/6/27","1551","13.28","2017/1/4","1055","27.49"
"1439","安江工務店","JQS","建設","2018/2/1 15:00","1522","98","6.88","1424","1424","1580","1408","1528.65","29700","2.27","45401","1987","1124","1724","2017/2/24","2580","41.01","2017/11/15","1211","25.68"
"1443","技研ホールディングス","東証二部","建設","2018/2/1 15:00","322","0","0","322","322","325","320","322.63","19400","0.12","6259","5229","242","402","2018/1/9","368","12.5","2018/1/18","305","5.57"
"1491","中外鉱業","東証二部","非鉄金属","2018/2/1 15:00","27","0","0","27","28","28","27","27.56","114300","0.04","3150","7823","1","57","2017/8/10","37","27.03","2017/4/12","25","8"
"1514","住石ホールディングス","東証一部","鉱業","2018/2/1 15:00","172","-13","-7.03","185","181","182","171","175.13","7117900","12.09","1246589","10130","135","235","2018/1/22","205","16.1","2017/4/14","89","93.26"
"1515","日鉄鉱業","東証一部","鉱業","2018/2/1 15:00","7950","100","1.27","7850","7980","7980","7920","7944.56","14900","0.18","118374","66401","6350","9350","2017/10/31","8490","6.36","2017/1/18","5390","47.5"
"1518","三井松島産業","東証一部","鉱業","2018/2/1 15:00","1607","77","5.03","1530","1555","1611","1555","1595.62","175900","1.35","280669","20994","1130","1930","2018/1/11","1679","4.29","2017/5/12","1266","26.94"
