"SC","名称","市場","業種","日時","株価","前日比","前日比（％）","前日終値","始値","高値","安値","VWAP","出来高","出来高率","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限","高値日付","年初来高値","年初来高値乖離率","安値日付","年初来安値","年初来安値乖離率"
"0001","日経225（日経平均株価）","東証","株価指数","2018/2/5 15:15","22682.08","-592.45","-2.55","23274.53","22921.16","22967.69","22659.43","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","2018/2/5 15:00","1823.74","-40.46","-2.17","1864.2","1837.56","1842.17","1821.01","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1301","極洋","東証一部","水産・農林","2018/2/5 15:00","4085","-90","-2.16","4175","4100","4125","4055","4084.84","49200","0.45","200974","44642","3475","4875","2018/1/10","4460","8.41","2017/1/18","2681","52.37"
"1332","日本水産","東証一部","水産・農林","2018/2/5 15:00","570","-11","-1.89","581","578","579","550","568.32","8089100","2.59","4597157","178085","481","681","2017/11/2","719","20.72","2017/4/19","510","11.76"
"1333","マルハニチロ","東証一部","水産・農林","2018/2/5 15:00","3135","-75","-2.34","3210","3185","3220","3135","3163.55","258100","0.49","816511","165079","2510","3910","2017/3/21","3580","12.43","2017/7/11","2903","7.99"
"1352","ホウスイ","東証一部","卸売","2018/2/5 15:00","1173","-15","-1.26","1188","1180","1183","1172","1177.78","6300","0.08","7420","9829","888","1488","2017/6/20","1400","16.21","2017/4/13","1130","3.81"
"1376","カネコ種苗","東証一部","水産・農林","2018/2/5 15:00","1619","-20","-1.22","1639","1671","1671","1619","1636.74","9500","0.08","15549","19060","1239","2039","2017/12/6","1820","11.04","2017/4/7","1365","18.61"
"1377","サカタのタネ","東証一部","水産・農林","2018/2/5 15:00","3790","-85","-2.19","3875","3830","3845","3780","3810.37","172500","0.36","657288","183477","3175","4575","2018/1/18","4095","7.45","2017/2/8","3110","21.86"
"1379","ホクト","東証一部","水産・農林","2018/2/5 15:00","2002","-48","-2.34","2050","2015","2041","1976","1999.61","281000","0.84","561890","66785","1550","2550","2017/3/14","2227","10.1","2017/8/15","1896","5.59"
"1380","秋川牧園","JQS","水産・農林","2018/2/5 14:25","726","0","0","726","720","726","715","723.81","2100","0.05","1520","3034","576","876","2018/1/17","755","3.84","2017/1/10","560","29.64"
"1381","アクシーズ","JQS","水産・農林","2018/2/5 14:51","4705","-155","-3.19","4860","4780","4780","4500","4665.85","4100","0.07","19130","26430","4160","5560","2018/2/2","4895","3.88","2017/1/18","1900","147.63"
"1382","ホーブ","JQS","水産・農林","2018/2/5 15:00","1116","-84","-7","1200","1170","1179","1116","1150","8700","1.14","10005","850","900","1500","2018/1/31","1740","35.86","2017/12/26","940","18.72"
"1383","ベルグアース","JQS","水産・農林","2018/2/5 15:00","2306","-94","-3.92","2400","2357","2370","2300","2340.98","52100","4.1","121965","2928","1900","2900","2018/1/15","3225","28.5","2017/1/4","942","144.8"
"1384","ホクリヨウ","東証一部","水産・農林","2018/2/5 15:00","1573","-43","-2.66","1616","1536","1585","1535","1555.14","44900","0.53","69826","13306","1216","2016","2018/1/26","1680","6.37","2017/1/18","720","118.47"
"1400","ルーデン・ホールディングス","JQG","建設","2018/2/5 15:00","483","-63","-11.54","546","513","513","461","484.37","288900","2.54","139935","5493","446","646","2018/1/19","840","42.5","2017/4/13","146","230.82"
"1401","エムビーエス","東証マザ","建設","2018/2/5 15:00","914","-19","-2.04","933","910","914","899","906.15","55600","0.76","50382","6649","783","1083","2018/1/29","980","6.73","2017/1/4","347","163.4"
"1407","ウエストホールディングス","JQS","建設","2018/2/5 15:00","752","2","0.27","750","741","764","741","751.56","112600","0.41","84626","20481","600","900","2017/1/5","885","15.03","2017/12/26","710","5.92"
"1408","サムシングホールディングス","JQG","建設","2018/2/5 14:01","513","-7","-1.35","520","515","518","510","513.01","7300","0.18","3745","2111","420","620","2017/12/5","672","23.66","2017/4/14","435","17.93"
"1413","桧家ホールディングス","東証二部","建設","2018/2/5 15:00","2577","-101","-3.77","2678","2611","2611","2550","2583.42","56400","0.42","145705","34983","2178","3180","2018/1/24","2828","8.88","2017/4/6","1951","32.09"
