"SC","名称","市場","業種","日時","株価","前日比","前日比（％）","前日終値","始値","高値","安値","VWAP","出来高","出来高率","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限","高値日付","年初来高値","年初来高値乖離率","安値日付","年初来安値","年初来安値乖離率"
"0001","日経225（日経平均株価）","東証","株価指数","2018/2/14 15:15","21154.17","-90.51","-0.43","21244.68","21251.24","21371.01","20950.15","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","2018/2/14 15:00","1702.72","-14.06","-0.82","1716.78","1719.16","1725.5","1691.65","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1301","極洋","東証一部","水産・農林","2018/2/14 15:00","3700","5","0.14","3695","3700","3735","3645","3690","49200","0.45","181548","40435","2995","4395","2018/1/10","4460","17.04","2017/1/18","2681","38.01"
"1332","日本水産","東証一部","水産・農林","2018/2/14 15:00","518","-5","-0.96","523","520","528","514","518.46","4308100","1.38","2233557","161839","423","623","2017/11/2","719","27.96","2017/4/19","510","1.57"
"1333","マルハニチロ","東証一部","水産・農林","2018/2/14 15:00","3175","-35","-1.09","3210","3210","3230","3150","3179.21","300700","0.57","955989","167186","2510","3910","2017/3/21","3580","11.31","2017/7/11","2903","9.37"
"1352","ホウスイ","東証一部","卸売","2018/2/14 15:00","1146","-3","-0.26","1149","1145","1164","1145","1148.18","1100","0.01","1263","9602","849","1449","2017/6/20","1400","18.14","2018/2/6","1123","2.05"
"1376","カネコ種苗","東証一部","水産・農林","2018/2/14 15:00","1562","10","0.64","1552","1554","1582","1552","1562","11000","0.09","17182","18389","1152","1952","2017/12/6","1820","14.18","2017/4/7","1365","14.43"
"1377","サカタのタネ","東証一部","水産・農林","2018/2/14 15:00","3500","0","0","3500","3495","3530","3445","3486.11","127100","0.26","443084","169438","2800","4200","2018/1/18","4095","14.53","2017/2/8","3110","12.54"
"1379","ホクト","東証一部","水産・農林","2018/2/14 15:00","1999","20","1.01","1979","1982","2012","1976","1993.43","86000","0.26","171435","66685","1579","2379","2017/3/14","2227","10.24","2017/8/15","1896","5.43"
"1380","秋川牧園","JQS","水産・農林","2018/2/14 13:06","703","-2","-0.28","705","705","705","701","703.33","2400","0.06","1688","2938","555","855","2018/1/17","755","6.89","2017/1/10","560","25.54"
"1381","アクシーズ","JQS","水産・農林","2018/2/14 15:00","4360","-145","-3.22","4505","4505","4550","4350","4433.64","2200","0.04","9754","24492","3805","5210","2018/2/2","4895","10.93","2017/1/18","1900","129.47"
"1382","ホーブ","JQS","水産・農林","2018/2/14 14:23","989","-16","-1.59","1005","995","998","962","986.82","2200","0.29","2171","754","705","1305","2018/1/31","1740","43.16","2017/12/26","940","5.21"
"1383","ベルグアース","JQS","水産・農林","2018/2/14 14:42","2152","-53","-2.4","2205","2205","2262","2141","2203.91","2300","0.18","5069","2733","1705","2705","2018/1/15","3225","33.27","2017/1/4","942","128.45"
"1384","ホクリヨウ","東証一部","水産・農林","2018/2/14 15:00","1344","-98","-6.8","1442","1423","1448","1343","1378.55","53800","0.64","74166","11369","1142","1742","2018/1/26","1680","20","2017/1/18","720","86.67"
"1400","ルーデン・ホールディングス","JQG","建設","2018/2/14 15:00","413","-17","-3.95","430","431","446","400","422","72900","0.64","30764","4697","350","510","2018/1/19","840","50.83","2017/4/13","146","182.88"
"1401","エムビーエス","東証マザ","建設","2018/2/14 15:00","820","-30","-3.53","850","841","841","796","812.44","23400","0.32","19011","5966","700","1000","2018/1/29","980","16.33","2017/1/4","347","136.31"
"1407","ウエストホールディングス","JQS","建設","2018/2/14 15:00","680","-18","-2.58","698","698","698","674","685.91","123400","0.45","84641","18520","598","798","2017/1/5","885","23.16","2018/2/14","674","0.89"
"1408","サムシングホールディングス","JQG","建設","2018/2/14 14:48","484","2","0.41","482","495","495","483","490.65","4600","0.11","2257","1991","402","562","2017/12/5","672","27.98","2017/4/14","435","11.26"
"1413","桧家ホールディングス","東証二部","建設","2018/2/14 15:00","2546","-4","-0.16","2550","2550","2555","2457","2512.96","20300","0.15","51013","34562","2050","3050","2018/1/24","2828","9.97","2017/4/6","1951","30.5"
"1414","ショーボンドホールディングス","東証一部","建設","2018/2/14 15:00","7320","-210","-2.79","7530","7610","7660","7290","7424.39","153000","0.54","1135932","207687","6030","9030","2018/1/30","8960","18.3","2017/2/1","4740","54.43"
"1417","ミライト・ホールディングス","東証一部","建設","2018/2/14 15:00","1553","-24","-1.52","1577","1584","1587","1548","1558.73","505300","0.59","787624","132598","1177","1977","2018/2/5","1760","11.76","2017/2/1","1023","51.81"
"1418","インターライフホールディングス","JQS","建設","2018/2/14 15:00","283","0","0","283","284","288","278","282.55","38400","0.19","10850","5663","203","363","2017/2/23","365","22.47","2017/4/13","234","20.94"
"1419","タマホーム","東証一部","建設","2018/2/14 15:00","1067","-19","-1.75","1086","1088","1106","1052","1074.86","246200","0.82","264630","32070","786","1386","2018/1/29","1267","15.79","2017/1/4","526","102.85"
"1420","サンヨーホームズ","東証一部","建設","2018/2/14 15:00","798","-18","-2.21","816","810","821","788","801.64","106900","0.85","85695","10071","666","966","2018/1/4","1122","28.88","2017/4/17","603","32.34"
"1429","日本アクア","東証マザ","建設","2018/2/14 15:00","516","-30","-5.49","546","540","540","506","520.66","188000","0.54","97885","17864","446","646","2017/6/28","583","11.49","2017/4/7","360","43.33"
"1430","ファーストコーポレーション","東証一部","建設","2018/2/14 15:00","1390","-9","-0.64","1399","1395","1423","1353","1388.53","100400","0.75","139408","18559","1099","1699","2018/1/24","1729","19.61","2017/1/23","884","57.24"
"1431","エスケーホーム","福証QB","建設","2018/2/14 15:26","1103","-36","-3.16","1139","1124","1170","1087","1112.22","9900","0.39","11011","2787","839","1439","2018/1/30","1248","11.62","2017/1/5","400","175.75"
"1433","ベステラ","東証一部","建設","2018/2/14 15:00","1759","-36","-2.01","1795","1781","1812","1690","1766.66","59200","0.71","104586","14693","1395","2195","2017/1/18","2800","37.18","2018/2/14","1690","4.08"
"1434","JESCOホールディングス","東証二部","建設","2018/2/14 15:00","519","-11","-2.08","530","540","550","505","520.55","143800","2.24","74855","3339","430","630","2018/1/23","788","34.14","2017/4/19","397","30.73"
