"SC","名称","市場","業種","日時","株価","前日比","前日比（％）","前日終値","始値","高値","安値","VWAP","出来高","出来高率","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限","高値日付","年初来高値","年初来高値乖離率","安値日付","年初来安値","年初来安値乖離率"
"0001","日経225（日経平均株価）","東証","株価指数","2018/2/16 15:15","21720.25","255.27","1.19","21464.98","21555.99","21866.37","21499.88","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","2018/2/16 15:00","1737.37","18.1","1.05","1719.27","1729.17","1747.6","1725.31","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1301","極洋","東証一部","水産・農林","2018/2/16 15:00","3820","105","2.83","3715","3740","3835","3740","3806.35","47100","0.43","179279","41746","3015","4415","2018/1/10","4460","14.35","2017/1/18","2681","42.48"
"1332","日本水産","東証一部","水産・農林","2018/2/16 15:00","522","8","1.56","514","515","524","513","519.18","2607300","0.83","1353659","163089","414","614","2017/11/2","719","27.4","2017/4/19","510","2.35"
"1333","マルハニチロ","東証一部","水産・農林","2018/2/16 15:00","3250","85","2.69","3165","3200","3275","3185","3244.71","172000","0.33","558090","171135","2465","3865","2017/3/21","3580","9.22","2017/7/11","2903","11.95"
"1352","ホウスイ","東証一部","卸売","2018/2/16 15:00","1139","11","0.98","1128","1133","1150","1132","1138.82","1700","0.02","1936","9544","828","1428","2017/6/20","1400","18.64","2018/2/15","1122","1.52"
"1376","カネコ種苗","東証一部","水産・農林","2018/2/16 15:00","1567","15","0.97","1552","1554","1600","1554","1581.03","7800","0.07","12332","18448","1152","1952","2017/12/6","1820","13.9","2017/4/7","1365","14.8"
"1377","サカタのタネ","東証一部","水産・農林","2018/2/16 15:00","3620","105","2.99","3515","3585","3660","3555","3617.45","96900","0.2","350531","175247","2815","4215","2018/1/18","4095","11.6","2017/2/8","3110","16.4"
"1379","ホクト","東証一部","水産・農林","2018/2/16 15:00","2042","59","2.98","1983","2000","2047","1993","2031.09","96900","0.29","196813","68119","1583","2383","2017/3/14","2227","8.31","2017/8/15","1896","7.7"
"1380","秋川牧園","JQS","水産・農林","2018/2/16 14:30","707","7","1","700","709","709","700","707.65","1700","0.04","1203","2955","550","850","2018/1/17","755","6.36","2017/1/10","560","26.25"
"1381","アクシーズ","JQS","水産・農林","2018/2/16 14:50","4680","210","4.7","4470","4510","4700","4510","4607.5","3200","0.06","14744","26290","3770","5170","2018/2/2","4895","4.39","2017/1/18","1900","146.32"
