"SC","名称","市場","業種","日時","株価","前日比","前日比（％）","前日終値","始値","高値","安値","VWAP","出来高","出来高率","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限","高値日付","年初来高値","年初来高値乖離率","安値日付","年初来安値","年初来安値乖離率"
"0001","日経225（日経平均株価）","東証","株価指数","2018/2/28 15:15","22068.24","-321.62","-1.44","22389.86","22292.53","22380.28","22068.24","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","2018/2/28 15:00","1768.24","-22.1","-1.23","1790.34","1783.88","1791.58","1768.24","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1301","極洋","東証一部","水産・農林","2018/2/28 15:00","3835","-20","-0.52","3855","3845","3885","3835","3856.23","51700","0.47","199367","41910","3155","4555","2018/1/10","4460","14.01","2017/1/18","2681","43.04"
"1332","日本水産","東証一部","水産・農林","2018/2/28 15:00","553","-2","-0.36","555","555","558","553","555.21","2229400","0.71","1237793","172774","455","655","2017/11/2","719","23.09","2017/4/19","510","8.43"
"1333","マルハニチロ","東証一部","水産・農林","2018/2/28 15:00","3160","-35","-1.1","3195","3190","3210","3155","3173.72","276300","0.52","876900","166396","2495","3895","2017/3/21","3580","11.73","2017/7/11","2903","8.85"
"1352","ホウスイ","東証一部","卸売","2018/2/28 15:00","1178","-1","-0.08","1179","1180","1180","1174","1178.33","600","0.01","707","9870","879","1479","2017/6/20","1400","15.86","2018/2/15","1122","4.99"
"1376","カネコ種苗","東証一部","水産・農林","2018/2/28 15:00","1656","-3","-0.18","1659","1672","1683","1631","1655.29","7000","0.06","11587","19495","1259","2059","2017/12/6","1820","9.01","2017/4/7","1365","21.32"
"1377","サカタのタネ","東証一部","水産・農林","2018/2/28 15:00","3720","20","0.54","3700","3735","3750","3720","3735.76","91000","0.19","339954","180088","3000","4400","2018/1/18","4095","9.16","2017/2/8","3110","19.61"
"1379","ホクト","東証一部","水産・農林","2018/2/28 15:00","2114","6","0.28","2108","2120","2132","2112","2123.26","88600","0.27","188121","70521","1608","2608","2017/3/14","2227","5.07","2017/8/15","1896","11.5"
"1380","秋川牧園","JQS","水産・農林","2018/2/28 15:00","720","-1","-0.14","721","730","730","720","721.86","4300","0.1","3104","3009","571","871","2018/1/17","755","4.64","2017/1/10","560","28.57"
"1381","アクシーズ","JQS","水産・農林","2018/2/28 15:00","5530","-710","-11.38","6240","5840","5870","5460","5668.75","74600","1.33","422889","31065","5240","7240","2018/2/27","6240","11.38","2017/1/18","1900","191.05"
"1382","ホーブ","JQS","水産・農林","2018/2/28 14:58","1082","62","6.08","1020","1047","1082","1023","1042","2500","0.33","2605","824","720","1320","2018/1/31","1740","37.82","2017/12/26","940","15.11"
"1383","ベルグアース","JQS","水産・農林","2018/2/28 15:00","2443","-18","-0.73","2461","2451","2453","2440","2448","2000","0.16","4896","3102","1961","2961","2018/1/15","3225","24.25","2017/1/4","942","159.34"
"1384","ホクリヨウ","東証一部","水産・農林","2018/2/28 15:00","1401","-1","-0.07","1402","1421","1421","1400","1407.81","11400","0.13","16049","11851","1102","1702","2018/1/26","1680","16.61","2017/1/18","720","94.58"
"1400","ルーデン・ホールディングス","JQG","建設","2018/2/28 15:00","566","36","6.79","530","540","620","533","581.86","667900","5.87","388623","6437","430","630","2018/1/19","840","32.62","2017/4/13","146","287.67"
"1401","エムビーエス","東証マザ","建設","2018/2/28 15:00","848","10","1.19","838","838","849","837","843.33","3600","0.05","3036","6169","688","988","2018/1/29","980","13.47","2017/1/4","347","144.38"
"1407","ウエストホールディングス","JQS","建設","2018/2/28 15:00","704","3","0.43","701","698","706","697","701.02","71800","0.26","50333","19174","551","851","2017/1/5","885","20.45","2018/2/14","674","4.45"
"1408","サムシングホールディングス","JQG","建設","2018/2/28 15:00","486","0","0","486","485","486","485","485.2","2500","0.06","1213","2000","406","566","2017/12/5","672","27.68","2017/4/14","435","11.72"
"1413","桧家ホールディングス","東証二部","建設","2018/2/28 15:00","2970","25","0.85","2945","2931","3030","2929","2978.6","20700","0.15","61657","40318","2445","3445","2018/2/26","3080","3.57","2017/4/6","1951","52.23"
"1414","ショーボンドホールディングス","東証一部","建設","2018/2/28 15:00","7710","160","2.12","7550","7560","7780","7540","7719.48","139800","0.49","1079184","218753","6050","9050","2018/1/30","8960","13.95","2017/2/1","4740","62.66"
